0,Perk Name,Cost,Source,Description
56,Industrial Agriculture,50 CP,Vanilla Stellaris,"""Large-scale industrial farms growing nutrient-rich produce allow a civilization to increase its population manifold.""

You possess the expertise of someone who has run and overseen the construction of large-scale industrial farms. Your knowledge covers efficient cultivation, infrastructure planning, and resource management necessary to feed a growing population. While modest by futuristic standards, this foundational skill ensures food security and the capacity to support expansion wherever you settle."
57,Energy Burster,50 CP,Vanilla Stellaris,"""Fires bio-projectiles that emit bursts of energy upon impact, subtly enhancing the maneuverability of our vessels.""

Blueprints and the practical skills to grow/create Energy Burster devices are now part of your mental library. These unique bio-projectiles release controlled energy bursts on impact, providing a subtle boost to your vessels' maneuverability during combat. A unconventional tool for those who prefer to turn every engagement into an opportunity for tactical repositioning."
58,Vector Lock Cannon,50 CP,Vanilla Stellaris,"""Biologically enhanced projectiles are fired, countering evasive maneuvers and striking agile targets.""

Blueprints and the practical skills to grow/create Vector Lock Cannon munitions are now part of your mental library. These biologically enhanced projectiles actively counter evasive maneuvers, making them exceptionally effective against agile targets. A precision tool for hunters who refuse to let their quarry slip away."
59,Maulers,200 CP,Vanilla Stellaris,"""Breakthroughs in bio-engineering have allowed the growth of space-faring, FTL-capable craft with military applications.""

Blueprints and the practical skills to grow/create Mauler-class bioships are now part of your mental library. These living vessels are fully space-faring and capable of faster-than-light travel, designed for military applications.

You also possess average piloting skills sufficient to operate one effectively. Whether grown in orbital habitats or tailored for specific roles, these organic craft offer a unique alternative to traditional shipbuilding."
60,Weavers,200 CP,Vanilla Stellaris,"""Building on the foundations of early bio-engineering, Weavers are crafted to balance agility with increased combat capabilities.""

Blueprints and the practical skills to grow/create Weaver-class bioships are now part of your mental library. These living vessels refine earlier bio-engineering techniques, striking an elegant balance between agility and combat performance. You also possess average piloting skills sufficient to operate one effectively."
61,Planetary Defenses,100 CP,Vanilla Stellaris,"""There may come a time when intellects, vast and cool and unsympathetic, regard our worlds with envy and draw plans against us. We must be ready.""

You are an expert of average skill in planetary defense planning and oversight. Your knowledge covers the strategic placement of defensive installations, coordination of ground-based systems, and preparation of civilian infrastructure to withstand orbital bombardment or invasion. While not a master strategist, you possess the foundational competence needed to make any world a harder target. Vigilance is the price of survival."
62,New Worlds Protocol,50 CP,Vanilla Stellaris,"""Calculating the required resources and gear needed to establish a planetary colony allows us to send brave pioneers forth in grand ark ships, confident that they will survive the long voyage across the stars to a new home.""

You possess a working knowledge of standard New World Protocols. This grants you the foundational skills and administrative know-how to plan, organize, and oversee the establishment of new colonies, ensuring that pioneering efforts have the infrastructure and supplies necessary to survive and take root on an unsettled world."
63,Planetary Germination,50 CP,Vanilla Stellaris,"""To spread our roots to a new world, we must first prepare the seedbed. By terraforming a planet, we can ensure that our colonies get off to a healthy start.""

You are an expert of average skill in the field of planetary engineering. You are capable of overseeing and assisting in the planning of large-scale terraforming and colonization projects, ensuring that a barren world can be made ready to support new life."
64,Planetary Government,100 CP,Vanilla Stellaris,"""Once a colony has been firmly established and pioneers become citizens, the need for a strong local government to provide stability outweighs the colonial need for flexibility.""

You are an expert in the field of planetary governance, possessing an average level of education by the standards of a future individualist society. You know how to establish and run effective administrative systems to ensure a stable and prosperous world."
65,Planetary Plexus,100 CP,Vanilla Stellaris,"""Our colonies would wither to naught without the stable projection of our collective self. Our effortless presence ensures a flourishing hive.""

You possess theoretical knowledge and a natural talent for the governing practices of a hive mind society. You understand how to manage a planetary population as a single, cohesive entity, ensuring the stability and prosperity of the collective."
66,Planetary Instantiation,100 CP,Vanilla Stellaris,"""Our colonies would never achieve stable operation without infrastructure dedicated to our networked self.""

You possess theoretical knowledge and a natural talent for the governing practices of a machine intelligence hive mind. You understand how to integrate a planetary population into a single networked consciousness, ensuring smooth and stable operation across all systems."
67,Holo-Entertainment,50 CP,Vanilla Stellaris,"""The latest in holographic entertainment. Entire worlds built out of photons and energy fields.""

You are an average-skilled expert in holo-engineering and design. You know how to create, maintain, and operate immersive holographic environments for recreation, education, or simulation purposes."
68,Interplanetary Commerce,150 CP,Vanilla Stellaris,"""With new planetary markets comes new opportunities for commerce. Business will be booming.""

You are an average-skilled expert in interplanetary trade and commerce. You understand the logistics, regulations, and financial strategies involved in moving goods and services across star systems."
69,Sociocultural History,150 CP,Vanilla Stellaris,"""An understanding of our shared past is necessary in order to make any significant strides into the future.""

You are an expert historian and monument builder of average skill from a future society. You know how to preserve cultural heritage, document historical events, and design lasting monuments that inspire and educate future generations."
70,Synaptic Structures,350 CP,Vanilla Stellaris,"""Through the development of macroscopic synaptic nodes, the will of the Hive will be strengthened.""

You possess the blueprints and operational instructions for constructing and maintaining various synaptic structures essential to a hive mind society. You know how to build the neural architecture that allows a collective consciousness to function across an entire planet."
71,Industrial Base,300 CP,Vanilla Stellaris,"""The basic industrial infrastructure required to become a spacefaring civilization.""

You possess an extensive theoretical foundation and exceptional talent for planning and constructing fundamental industrial infrastructure at the level of a future society. While you do not carry specific blueprints, your deep understanding allows you to design and oversee the building of factories, foundries, and manufacturing networks from the ground up."
72,Offworld Construction,250 CP,Vanilla Stellaris,"""Construction in space presents our engineers with new design challenges that must be solved before we can build orbital stations above other worlds.""

You possess an extensive theoretical foundation and exceptional talent for planning and executing offworld construction projects at the level of a future society. While you carry no specific blueprints, your deep understanding allows you to design and oversee the building of orbital platforms, space stations, and other zero-gravity structures from first principles."
73,Mechanized Mining,200 CP,Vanilla Stellaris,"""The basic industrial infrastructure required to become a spacefaring civilization.""

You possess a mental compendium of blueprints and instructions for planning, building, operating, and maintaining the foundational industrial infrastructure of a future civilization. However, your knowledge is purely theoretical - you have no practical skills or hands-on experience to accompany it."
74,Nanocomposite Materials,100 CP,Vanilla Stellaris,"""Reinforced nanocomposite hull plating can provide an extra layer of protection that could mean the difference between life and death in a combat situation.""

You are an expert in the field of nanocomposite materials. You know how to fabricate and apply them, and you understand the fundamental theory behind how they work at a molecular level."
75,Chemical Thrusters,100 CP,Vanilla Stellaris,"""Simple yet moderately effective chemical thrusters that rely on combustible propellant to function.""

You possess a mental compendium of blueprints and instructions for planning, building, operating, and maintaining chemical thrusters at a future civilization's technology level. However, your knowledge is purely theoretical - you have no practical skills or hands-on experience to accompany it."
76,Flak Battery,50 CP,Vanilla Stellaris,"""Gun batteries that fire shrapnel rounds at close range. They are particularly lethal to enemy strike craft, but can also defend against missiles.""

You possess a mental compendium of blueprints and instructions for planning, building, operating, and maintaining flak battery weaponry at a future civilization's technology level. However, your knowledge is purely theoretical - you have no practical skills or hands-on experience to accompany it."
77,Nuclear Missiles,150 CP,Vanilla Stellaris,"""Space-to-space missiles equipped with high-yield nuclear warheads. Although based on old pre-space technology, these crude fire-and-forget weapons can be surprisingly effective at range.""

You possess a mental compendium of blueprints and instructions for planning, building, operating, and maintaining space-to-space nuclear missile weaponry at a future civilization's technology level. However, your knowledge is purely theoretical - you have no practical skills or hands-on experience to accompany it."
78,Mass Drivers,150 CP,Vanilla Stellaris,"""These electromagnetic projectile launchers use magnets to accelerate armor-piercing rounds toward targets at high speeds.""

You can build a mass driver from scratch and modify it in a few ways, but you do not actually understand the fundamental physics of how they work. Your knowledge is purely practical - you know how to make, operate, and maintain them, but not the theory behind it."
79,Space Exploration,200 CP,Vanilla Stellaris,"""The Science Ship is used as a base of operations for a top scientist, ready to explore the vastness of space.""

You can build, maintain, and operate a science vessel of this caliber, provided you have the suitable tools and materials on hand. However, your knowledge is primarily practical - you lack an extensive theoretical background on why the ship is constructed in this particular way."
80,Interplanetary Expeditionary Forces,50 CP,Vanilla Stellaris,"""The invasion of another world is a staggering enterprise. There are immense logistical challenges that must be overcome before we can muster our first interplanetary armies.""

You have received education in the military logistics required to support interplanetary forces. You understand the complex supply chains, transport requirements, and coordination needed to sustain military operations across star systems."
81,Deep Space Defenses,150 CP,Vanilla Stellaris,"""This will enable the construction of defensive deep space platforms to protect our starbases.""

You know how to build, operate, maintain, and modify simple defensive deep space platforms, allowing you to establish basic orbital fortifications around key locations. It's equivalent of receiving good education and apply it practically for a few years."
82,Orbital Energy Conversion,150 CP,Vanilla Stellaris,"""Advances in solar panel technology could offset the operating costs of our starbases. The panels would require an entire starbase module to generate enough energy, however.""

You know how to build, operate, maintain, and modify orbital solar panels of this scale. You also understand the basic theory behind their inner workings, allowing you to adapt and improve the technology as needed."
83,Starbase Construction,200 CP,Vanilla Stellaris,"""A centralized space installation built in close orbit around the system's primary is necessary to make full use of the resources in a star system.""

You can build, maintain, and operate a starbase of this scale, provided you have the suitable tools and materials on hand. However, your knowledge is primarily practical: you lack an extensive theoretical background on why the base is constructed in this particular way."
84,Starport,200 CP,Vanilla Stellaris,"""The earliest starbases were little more than makeshift outposts. Permanent starports will enable us to maintain a firmer grip on star systems.""

You can build, maintain, and operate a permanent starport of this caliber, provided you have the suitable tools and materials on hand. However, your knowledge is primarily practical: you lack an extensive theoretical background on why it is constructed in this particular way."
85,Corvettes,150 CP,Vanilla Stellaris,"""The corvette is the most basic military ship, armed and ready in the event of hostile contact.""

You can build, maintain, and operate a corvette-class vessel, provided you have the suitable tools and materials on hand. However, your knowledge is primarily practical: you lack an extensive theoretical background on why it is constructed in this particular way."
86,Predatory Tactics,300 CP,Vanilla Stellaris,"""Just as clever pre-FTL hunters move to conceal themselves while approaching prey, so too can our pilots move faster without disrupting their cloaking field.""

You understand the art of stealth movement in combat. You know how to coordinate forces to maneuver at increased speed while maintaining active camouflage, allowing strikes that are both swift and undetected."
87,Alien Topography,300 CP,Vanilla Stellaris,"""Civilizations flourish in locations that promote growth. By analyzing where the majority of pre-FTL settlements thrive, we can gain more out of our own colonies.""

You possess a deep understanding of how alien species interact with their environments. You can analyze settlement patterns and geographical data to identify optimal locations for colonies, maximizing their growth and potential."
88,Lost Building Methods,200 CP,Vanilla Stellaris,"""Any civilization with a long enough history has examples of great wonders built by forgotten ancients, which can no longer be replicated. Luckily for us, we have documented these great ancients when they appeared on pre-FTL worlds.""

You have studied and preserved the construction techniques of ancient civilizations. You know how to recreate their lost architectural marvels, allowing you to build structures using methods and materials that have long since faded from memory and getting useful insights from them."
89,Leviathan Tech Genesis,500 CP,Vanilla Stellaris,"""Utilizing the recovered knowledge seized from leviathans, we now have access to new improvements for our frames.""

You possess the secrets extracted from ancient cosmic leviathans. This knowledge allows you to integrate their otherworldly biology and technology into your own constructions, granting them unprecedented enhancements and capabilities far beyond conventional designs."
90,Stellaris Species,200 CP,Vanilla Stellaris,"You are an expert focused on the biology of the many sentient species found throughout the Stellaris universe, including those from various species packs. Your scientific knowledge of their diverse and unique physiologies is extensive and profound, allowing you to understand, interact with, and potentially even engineer solutions tailored to their specific biological needs."
91,Enigmatic Decoding & Encoding ,800 CP,Vanilla Stellaris,"""While producing average results in standard tests, the accuracy of the Enigmatic Decoder's prediction algorithms seemingly increases as the target's flight path grows more erratic. Conversely, the Enigmatic Encoder scrambles our own flight path data according to some indeterminable design before feeding it back to fleet command.""

You possess the knowledge to construct, operate, and integrate both Enigmatic Decoder and Encoder systems. Your decoding technology becomes more accurate the more seemingly unpredictable the target's movements, while your encoding systems scramble your own flight data in ways that defy analysis. Together, these technologies grant your fleet unparalleled predictive targeting and defensive evasion."
92,Bio-Integrated Combat Computing,600 CP,Vanilla Stellaris,"""We can develop specialized neurochips to influence the behavior of space fauna involved in fleet combat. Additionally, the diverse sensory organs of spaceborne life can be enhanced by our technologies with minimal harm to the organism.""

You possess the knowledge to seamlessly integrate advanced computing technology with living spaceborne organisms. You can create neurochips that allow you to direct the behavior of space fauna during large-scale combat, while also enhancing their natural sensory organs with technological augmentations. All without causing significant harm to the creatures themselves."
93,Xenological Computation,700 CP,Vanilla Stellaris,"""After studying multiple pre-FTL civilizations, we have realized there are many alternative ways to calculate the universe. Different societies have developed alternative solutions for their logistics and computing. These alien ways of thinking have introduced entirely new numbers into our mathematics and made it easier to adapt to foreign empires' structures.""

You have absorbed the computational paradigms of countless alien civilizations. You understand alternative mathematical systems that introduce entirely new numerical concepts, as well as trinary and other non-binary computing architectures. This knowledge allows you to adapt seamlessly to foreign computational and logistical structures, whether for code-breaking, integration, or cultural understanding."
94,The Celestial Code,1200 CP,Vanilla Stellaris,"Your understanding has transcended conventional science, allowing you to perceive reality as a complex, layered code of physics and spacetime. By mastering the art of precise, microscopic alterations to gravity - injecting commands into the fundamental framework of existence - you can now perform temporary edits to the rules of reality itself. However, these changes are fleeting. To make your modifications permanent, you must engineer a vessel or construct capable of piercing the fabric of spacetime and surviving the journey through nascent universes. Only by anchoring your will across dimensions can you make your revisions to the cosmic source code absolute."
95,Gravity-Assist Logistics,300 CP,Vanilla Stellaris,"You possess an intuitive genius for gravity-assisted astrogation. You have the theoretical and practical knowledge to calculate perfect slingshot maneuvers, using planetary gravity wells to achieve maximum velocity with minimal fuel. This talent extends to logistics; your deep understanding of orbital mechanics allows you to position yourself or any craft you pilot with such efficiency that you can perform complex missions with a fraction of the typical resource expenditure. Wherever you fly, your fuel efficiency and maneuverability are simply superior."
96,Dark Matter Deflectors,500 CP,Vanilla Stellaris,"""These deflectors utilize dark matter to deflect incoming projectiles in a way that seems to utterly defy the laws of nature.""

You possess a complete understanding of Dark Matter Deflector technology. These advanced shields utilize dark matter to deflect incoming projectiles in a way that defies the known laws of physics, offering superior protection. You gain the theoretical knowledge and practical skills necessary to construct, maintain, and utilize these deflectors reliably. You still require the proper tools and facilities to build them and you have no idea how to do it!"
97,Dyson Sphere for Dummies,200 CP,Vanilla Stellaris,"Your mind now contains a comprehensive and highly detailed plan for constructing a Dyson Sphere - a megastructure designed to fully envelop a star and convert its entire energy output into usable power. This mental blueprint is easily accessible and outlines a step-by-step process, starting from the industrial capabilities of modern Earth and incorporating every conceivable shortcut to achieve this monumental goal. It doesn't put things like actual need for Dyson Sphere, ethics of each step or other important issues into account. Actually acquiring the resources and putting this information into practice is still up to you. "
98,Matter Decompressor Project,200 CP,Vanilla Stellaris,"You receive a fiat-backed dataslate containing incredibly detailed instructions for constructing a Matter Decompressor - a megastructure that uses a black hole's gravity as a drill to extract virtually unlimited minerals from the singularity itself. The blueprint touches a bit on fundamental theory but primarily serves as a practical, step-by-step guide to achieving this goal under a range of varying circumstances. It assumes the reader possesses the necessary foundational knowledge, focusing instead on the actual construction process. It is easily accessible by computers of practically any architecture and will come back into your possession some time after, if destroyed."
99,Dark Matter Power,400 CP,Vanilla Stellaris,"""These generators appear to somehow draw energy directly from dark matter, providing more ship power than should be possible according to the laws of physics.""

You possess the theoretical knowledge of Dark Matter Power generation: technology that draws energy directly from dark matter to provide far more power than should be physically possible. When attempting to construct these immensely complicated power generating devices, you have a supernatural advantage that guides your efforts. This won't make the task easy, but it gives you an edge in navigating the incredible complexity involved."
100,Extradimensional Weaponry,400 CP,Vanilla Stellaris,"""Applying 5th-dimensional energy manipulation principles on lower dimensional planes allows for the creation of powerful energy weapons."" 

You possess a mental compendium of fundamental knowledge and practical experiments needed to begin researching these kinds of weapons. You gain a supernatural advantage and sudden strikes of insight when actively working on this technology. "
101,Dark Matter Propulsion,350 CP,Vanilla Stellaris,"""These thrusters utilize Dark Matter technology to generate propulsion in a manner that appears to defy numerous laws of physics."" 

You possess the schematics and understanding needed to construct and integrate these exotic thrusters into your ships. They offer unparalleled speed and maneuverability by harnessing the reactive properties of dark matter."
102,Dimensional Transcendentalism,1000 CP,Vanilla Stellaris,"You have unlocked the secrets of dimensional transcendentalism, allowing you to construct ships whose interiors are vastly larger than their exteriors suggest. This ""bigger-on-the-inside"" principle grants your vessels immense firepower and capability at a fraction of the expected logistical cost. This knowledge applies across your fleet, from the modest Riddle Escort and the imposing Enigma Battlecruiser (which outclasses standard battleships) to the nigh-impregnable Paradox Titan, a mobile fortress that can shrug off all but the most brutal assaults."
103,Nanite Repair System,300 CP,Vanilla Stellaris,"This nanite repair system is a highly effective auto-repair mechanism comprised of billions of microscopic repair machines. Originally salvaged from the wreckage of the Scavenger, this technology has been repurposed for your use. You gain a sealed, dormant sample of this advanced technology, along with an incredibly detailed and comprehensive guide on how to activate, utilize, and reproduce it for your own vessels and equipment."
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
