Cost,Name,Source,Description
200CP,Living Sun,Avengers Vs X-Men,"You are a living solar battery like Sunspot, draining in all light, heat and fire that you come into
contact with and storing it within you. While this drain is constant and passive, resulting in your body
being cloaked in darkness at all times, the energy you drain can be re-channeled into new purposes.
Increasing your physical abilities, flying at high speed, producing and controlling heat or fire or light
and even firing blasts of raw kinetic energy. It is nigh impossible to harm you with fire or light, as
your body has an enormous absorption rate, and this energy also supplies all your vital functions."
200CP,Spider Person,Avengers Vs X-Men,"From a radioactive spider or genetic experiments or something weirder still, you’ve joined the ranks
of the Spider People. There are two ways you can choose to have this animal-linked power manifest
but each way shares certain benefits. Super strength, enough to lift 5 or more tonnes, incredible
agility and speed, the ability to crawl on walls like a spider or bend and flex more than any human
could imagine doing, enhanced healing abilities and a very powerful immune system. The Spider-
Man basic package. You can choose to either go deeper in on the Spider Man side, taking on his
famed Spider Sense and gaining access to a similar suit to his during this time period and a wide
variety of handy spider-gadgets. Or you can focus more towards Spider Woman, giving up the

advantage of technology and gaining several new abilities, such as discharging strong electrical blasts
from your hands, gliding through the air at will, enhanced senses of hearing and the ability to secrete
pheromones that influence the emotions of those around you. Either ability costs the same."
200CP,Super Soldier,Avengers Vs X-Men,"Whether it be the original Super Soldier serum or the Heart Shaped Herb, you’ve been made a man
that stands above all other men. Every attribute of your natural human body has been increased to
the very peak of human ability. Strength, Agility, Stamina, Reflexes, Healing and more. In fact, many
may confuse your abilities as that of a low level Superhuman, forgetting how far a normal human
can come in this world. To go along with your powers, you have received extensive military and
athletic training, making you a very dangerous combatant in a fight and extremely skilled military
operator. If you choose to have the Super Soldier serum, you may choose to have served alongside
the original Captain America or even have temporarily taken up the mantle in the past. With the
Heart Shaped Herb, you can be of T’Challa’s line and have officially worn the Black Panther title at
one point, though not presently.
Alternatively, you can choose to undergo the Burstein process, the same procedure that gave Luke
Cage his powers. While you won’t gain the military training with this option, you do gain far greater
physical abilities. You’ll easily lift upwards of 50 tonnes into the air and grow even stronger now and
then, along with possessing a body so hard bullets will bounce off you and even a few hundred kilos
of explosives won’t bother you much.
You can buy one, two or all three options presented here and they will stack with each other,
excluding the training. That you only get once."
200CP,Superior Being,Avengers Vs X-Men,"Sometimes the simplest way really is the best way. Similar to Warpath, you lack any strange abilities.
Instead, your raw physical abilities are all far beyond the normal human level and grow even more so
in time. Your strength is enough to lift twenty tonnes with ease, you have the speed to outrace any
ordinary land vehicle, stamina to fight for days, incredible agility, reflexes and senses of sight and
sound. Even brutal injuries can be healed in hours, like being crushed by a massive cyborg horse. You
can also fly, even if that doesn’t really make sense, at supersonic speeds. All your capabilities slowly
but steadily grow over time. With enough time, Warpath was once able to tangle with the Hulk
himself in strength."
200CP,The Wolverine,Avengers Vs X-Men,"Like your namesake, you’ve taken on powers befitting a fierce and relentless hunter. Your healing
factor is the stuff of legends, capable of bringing you back from being reduced to a mere skeleton in
just minutes, healing missing limbs and organs, keeping you young and in your prime for centuries,
even reverting magical transformations like that of lycanthropy or vampirism. You have superhuman
physical abilities, primarily focused on your speed and agility, though no normal human could hope
to match your strength and your senses are all heightened to far beyond the human norm. Much like
Wolverine, your skeleton has been covered in Adamantium, including the long bone claws that you
can extend from your knuckles at will, making your bones almost unbreakable and your claws able to
cut through nearly anything."
200CP,Knowing Yourself is the Beginning of all Wisdom,Batman Arkham Knight,"Some might not call being gifted with the hands of a surgeon to be a power in and of itself.
However, those who see you at work might disagree. Your skills are nigh-unmatched when it
comes to the operating theater, capable of feats such as healing the spine of a man who would
otherwise never walk again, giving a mute back his voice, and turning a half-burned nightmare
into a regular face. However, those are merely paltry applications of your skill. If you wished,
you could apply your skills to yourself just as easily as you can others, perhaps give yourself an
entirely new face, or even copy someone else’s, modify your vocal chords to sound entirely
different, and effectively become a new person. There is, however, a singular flaw in your skill.
You have difficulty replicating entirely unique features you cannot access. Fingerprints, eyes,
patterns of speech… those are beyond you to replace without access to the original. But save
for that… well… your skills are matched by only one in this world."
200CP,Concealment,City of Heroes,"At first you'll learn the ability to hide yourself a little better and perhaps how to hide others. When you 
master this power set you'll be able to phase for short amounts of time at high energy costs and have full 
invisibility for a great deal of concentration."
200CP,Flight,City of Heroes,"In City of Heroes, flight isn't very impressively fast, however it does allow a great deal more control than 
most other travel powers. Advancing this power set allows you to grant flight to nearby allies and pull off 
aerial attacks and maneuvers that you wouldn't otherwise know. If you already know how to fly, consider 
this power set the ability to master the art of combat flight."
200CP,Leaping,City of Heroes,"You gain the ability to leap over buildings in a single bound and to also change course slightly while in 
mid-air. On top of being able to leap, you also gain knowledge to apply your acrobatics and jumping in 
combat, bouncing off walls into a serious head butt or dropping from the sky to Goomba Stomp enemy's skulls."
200CP,Speed,City of Heroes,"You gain the ability to run at 200 mph and the ability to work with that speed. Should you choose to 
spend a greater deal of energy, you can attack twice as fast as you normally could or whip yourself up into 
an actual tornado, sending foes flying left and right. While you have decent control with this speed now, 
adding more reflexes would do wonders."
200CP,Teleporation,City of Heroes,"One of the true fastest ways to travel, you can teleport hundreds of yards away as long as you can see 
where you'll end up. Further more, you'll soon gain the ability to teleport friend and foe alike, even calling 
eight willing allies to your side with one simple maneuver."
200CP,Enhanced Healing,Generic Super Academy,"Like it says on the tin, you’ve got a healing factor. What precisely it can do and restore 
depends on the tier, but regardless of what type you have you age gracefully, and can expect to 
live for hundreds of years at least. 
At Street Tier you’ve got a healing factor capable of recovering even from severe injury 
in no more than a day, and you can recover from minor injuries in a few minutes. 
At National Tier you can recover even from critical injuries in an hour or so, and minor 
injuries heal so fast you can visibly see the wounds mending. 
At Global Tier you have full on regeneration, and can replace even missing limbs in a 
matter of minutes. Losing your head or your brain will neither kill you nor impare your memories, 
and you could regenerate even from a single drop of blood. You’d need to be completely 
atomized in one go for someone to be sure that they killed you. 
At Cosmic Tier you regenerate all wounds effectively instantly, and you can not be killed 
by purely mundane methods. Only truly potent effects, powers, and abilities have any hope of 
killing you for sure, such as powerful god-slaying weapons, Cosmic powers based around 
destroying things, or similar such extreme methods of destruction. "
200CP,Inviolate Mind,Generic Super Academy,"Your mind belongs to you and no other, and any that would attempt to gainsay this are in 
for a very rude surprise as your mind actively rebuffs them. 
At Street Tier you are highly resistant to attempts to mentally control you, attempts to 
read your mind can be resisted with an active effort, and supernaturally boosted attempts at 
persuasion are less likely to work on you. 
At National Tier attempts to read, control, or contact your mind against your will face a 
tremendous uphill struggle, and those using supernaturally persuasive arguments find that even 
the most silver-tongued devils have trouble when it comes to talking you into doing things to your detriment. 
At Global Tier you are completely immune to attempts to mentally dominate, control, or 
contact you against your will. Those that use supernaturally boosted persuasion are equally 
stymied, being forced to rely on simple mundane arguments against you as anything beyond 
that flatly fails to work. At this level you cannot be located or tracked via detecting your mind, 
whether by its presence or absence. You are also immune to memetic effects or the maddening effects of eldritch beings. 
At Cosmic Tier you have everything in the Global Tier, except now you also reflect such 
attempts back at the person that made them. Those that try to mentally dominate you find their 
own powers falling upon them, those that try to contact or read your mind find you have now 
contacted and read theirs, and those that use supernatural methods to boost their powers of 
persuasion find their own arguments and words flying back in their faces."
200CP,Pocket Dimensions,Generic Super Academy,"You have the ability to create personal dimensional spaces. These spaces are protected 
from outside interference, but a sufficiently powerful dimensional effect or traveller might be able 
to breach such a protection. 
At Street Tier you effectively have a personal inventory, similar to a video game. Nothing 
can be placed inside that is larger than your own body mass, but an unlimited amount of such 
items can be stored. You always know what is in your inventory and can always pull out exactly 
what you desire. Items stored in this Inventory are in stasis and nothing living can be placed inside it. 
At National Tier you can create additional spaces like your Inventory, either anchored in 
place or attached to another person or even an object. You can designate who can access 
these spaces, which can be specific people or can include various conditions to be allowed 
access. The contents of these spaces are still in stasis and restricted to non-living objects. 
At Global Tier your Pocket Dimensions go from simple storage to small worlds. They can 
be no larger than a large city, and the environment inside can be shaped as you wish, including 
the creation of non-sapient lifeforms that are restricted to this pocket world and are under your 
control. Living beings can now be allowed to enter these worlds and you can either attach the 
world to yourself or anchor it in a manner similar to the National Tier spaces. Physical laws in 
these worlds are effectively identical to the outside world. If you enter a world attached to you, 
you will be in the same place when you exit it, barring the use of other dimensional travel powers. 
At Cosmic Tier you can create a full size dimension, play with the physical laws inside as 
you wish, grant other people similar though lesser control over the dimension or do pretty much 
anything else inside your dimension. You are effectively the God of this personal dimension. 
You are limited to only one of these dimensions, but can still create the lesser worlds."
200CP,Specific Immunity,Generic Super Academy,"You are completely immune to harm or negative effects from a specific source or type. 
This could be a particular element, attacks from a specific species, or type of effect such as 
being knocked back or tripped. This can be taken multiple times, but you cannot take multiple 
Specific Immunities that combine into complete invulnerability.. 
At Street Tier this protects from a single element such as fire or cold. It could make you 
immune to being tripped or thrown off your feet. 
At National Tier you could be immune to attacks from the “classical” four elements or 
similar groupings. You could be immune to any form of firearms or to explosions, or to disease or poison. 
At Global Tier you can be immune to large categories of effects, like magic, technology, 
or psychic powers. You could be immune to all kinetic attacks, all biological attacks. You could 
even pull off a classic “No man born of woman can harm me” protection. 
At Cosmic Level you could be immune to divine attacks, or non-divine attacks. You could 
be fully immune to all physical attacks or all mental attacks, or even conceptual attacks."
200CP,Super (Re)Size Me,Generic Super Academy,"You have the power to either grow to extreme heights, or shrink to incredibly small 
scales. For those that grow larger their strength, durability, and speed increase proportionally to 
their height, whereas for those that grow smaller their physical stats remain just as effective as 
they would be when they are their normal size. Either way both types of power ignore the 
square-cube law, and equipment worn or carried resizes with the user. You may purchase this 
power a second time to have both options. 
At Street Tier you could grow to around sixty feet tall, able to easily lift and throw cars, or 
shrink down to only a few inches. 
At National Tier you could grow to a few hundred feet tall, your strength enough to easily 
smash buildings, and potentially break the sound barrier while sprinting… with catastrophic 
effects on your surroundings. You could alternatively shrink down to only a fraction of an inch 
tall, comparable in size to some forms of extremely small insects. 
At Global Tier you could potentially grow to thousands of feet tall, with proportionately 
increased physical abilities. At this level it is likely you will cause considerable destruction to 
your surroundings if you aren’t careful. Alternatively you could shrink down to the size of an 
atom, though the world would likely be near unrecognizable to you at that size. 
At Cosmic Tier you could potentially grow in size large enough to crush a city 
underneath your boots, and could cause catastrophic damage with even your smallest 
movements, an exhalation from you being more akin to hurricane force winds than anything 
else. If you can shrink you instead could go down all the way to the femto scale, so small as to 
be undetectable to anything short of Cosmic senses, and who knows what you might 
experience or discover at such a tiny size."
200CP,Super Stretch,Generic Super Academy,"Like Stretch Armstrong himself you have the ability to stretch your limbs and body into all 
sorts of normally impossible shapes, sizes, and lengths. 
At Street Tier you could stretch your arm across a street, have increased resistance to 
blunt force trauma, and could easily contort yourself to fit through spaces far smaller than would 
be possible for a normal person. 
At National Tier you’ve basically got the same stretching abilities as Mr. Fantastic 
himself, able to stretch over the length of a football field with each limb, have huge resistance to 
blunt force trauma, and can fit through impossibly small spaces for a human. 
At Global Level you’re just as good as Plastic Man himself, able to stretch over truly 
massive distances, have near immunity to blunt force trauma, and at this point the plasticity of 
your body has reached the point you could achieve practical shapeshifting, though your 
coloration won’t change and you don’t really take on the properties of the things you transform 
into beyond the most simplistic of mechanical benefits (such as a propeller plane). 
At Cosmic Tier you could potentially envelop an entire world with how far you can 
stretch, and are immune to the negative effects of blunt force trauma. Your body is so pliable 
you could take effectively any shape, including that of complex mechanisms that have actual 
mechanical benefits (such as a gun that actually works as a gun) if, of course, you had the 
requisite knowledge of that mechanism."
200CP,Bolts of Fury,Kingdom Come,"You have the force of a power plant pulsing through your whole body, able to turn into lightning itself.
Powering electronic devices is a simple task for you, and you can kill a human with only a small amount of
the force of electricity that flows through you. But you can also use it to stun living things with only a blast,
create force field bubbles, and produce literal black lightning empowered by your fury, and you can also
produce a lightning storm. An electric force field that blankets your body (But can be taken away) at all
times that absorbs the force of bullets, rendering them harmless onto you."
200CP,Self-Molecular Rearranging,Kingdom Come,"You have super strength, and the ability to rearrange your own molecular structure. Making yourself
lighter or heavier or changing your height is possible with your abilities, and your strength grows and
shrinks with your height. Right now this is the only way to increase your strength, but maybe if you’re
smart you could think of other ways to increase your strength without needing to become bigger. You
have no theoretical limit to what you can grow or shrink, but 60 feet is the maximum height you can
maintain for a significant amount of time as of your current mastery of this ability. Further training is
needed to expand it. You can also manipulate your molecular structure to let you phase through walls as
well, in case you need to sneak somewhere instead of punching holes in walls.
You could also extend this ability to shift between the different states of matter, but to enter the state of
plasma will require an external energy source other than what this power provides. Furthermore,
changing your state of matter is past your current mastery of this ability, and becoming plasma is a state
of matter that has to be achieved separately past the other states of matter."
200CP,Shadow Manipulation,Kingdom Come,"You can manipulate shadows, merging with your own to slide across the ground or fly in the air and
possessing the shadows of others. You can also grow to a huge size as a shadow and create physical
items and shapes in a way similar to that of the Green Lantern ring. Your body also resists antimatter to a
degree as well, thanks to your exposure to the Shadowlands.
You also have telepathic abilities to a minor degree, able to speak in the minds of others and have them
reply back. No mind control, for one exception. You can make someone see the depths of their evil side.
All their horrifying thoughts, desires, and dreams. This could drive them to the brink out of remorse and
regret for their actions, or horrifically traumatize them. Or both."
200CP,Super Senses,Kingdom Come,"You’re not as strong as Superman or as fast as him...but you are his equal in one respect. You posses
super senses of his strength. Not only that, you’re able to freely dull or focus them if they become too
overwhelming. You’re able to hear clouds scrape together, to see tiny bacteria squirm on the ground,
heart the heartbeat of a man over half the world away, and other such wild feats thanks to your super
senses. But your senses are different from Superman in one respect--you have a sense for magic. You
can see and feel magic, and identify it. The strength and what sort of magic it is. You’ll have to gain
knowledge of magic to sense it, but that’s a nice ability still."
200CP,Wind Powers,Kingdom Come,"People will go on and on about how weak wind manipulation is, until they’re on the ground choking to
death and their mighty jets helplessly rolling in the winds at your mercy. Creating a hurricane is as easy
as breathing with your power. Your entire body can turn into wind, and carries all the immunities it implies.
You could level a building in seconds at the 350 miles per hour winds at your control. But unlike Red
Tornado, you have no android body.
But you can turn into wind to compensate. To harm you would be like harming the wind with all the futility
it implies, and you cannot be moved in this state except through your own will. People cannot use fans or
any other way to control your movements. You are an unstoppable force, and they will kneel to you. You
could also separate your windy self and escape through any cracks in this form, or turn parts of your body
into the wind. Become the greatest tornado of their nightmares."
200CP,Botanical Evolution,Marvel Age of Krakoa,"Whenever you’re injured, you heal back composed of
plants fungi, algae or moss, lichens, or similar things adapted to resist that type of
damage or otherwise create some small improvement.  The faster you can heal, the
faster this happens. The adaptions scale to what happened and are relatively minor to
start, unless a significant portion of your body is destroyed you won’t see more than
negligible improvement from any one instance of this, but adaptations stack on top of
each other and can snowball quickly: Over the course of billions of years the thresholder
Grove became the living continent Okkara and when killed her remains regenerated into
Krakoa and Arakko the living Islands. Rarely you may develop new abilities from this,
like Krakoa’s ability to control the properties of the plants and fungi it is composed of
and alter their growth at will or its ability to feed on psychic energy. Since you’re paying
CP for this, you can revert from your botanical form and return to it at will and limit its
size or how inhuman it becomes, if you aren’t interested in being a kaiju or genius locus,
and suppress any inconvenient adaptions until they’re needed. Even if your entire
nervous system is destroyed and replaced, you will still be you with full continuity of
memory, personality, cognition, and existence, and your botanical form and its
component organisms will contain your original self’s biological information and all of
its traits. You can control the cosmetics of your botanical form, and adaptions are saved
and automatically applied when other body parts are damaged.
Best of Both Kingdoms (100 CP, Required Botanical Evolution): Rather than
have a separate Botanical Form, you have a single form that combines the best traits of
your Botanical state and whatever you’d be without this power. You retain the ability to
appear “normal” at will, but other than factors of size or deviations in body plan this is
purely cosmetic with you retaining any adaptions you did not suppress and you can
manifest aspects of one form while in the other at will."
200CP,Cyberpathy,Marvel Age of Krakoa,"Your brain combines the best features of an organic brain and a
highly advanced supercomputer. This doesn't make you “smarter” per se, but it does
mean that you can store and perfectly recall an infinite amount of information without it
being distorted, process far more information from your senses than you otherwise
could, perform strenuous mental tasks for longer, and think at far faster speeds—twenty
times peak human at a minimum. The exact benefit scales up with your intellect and
combines synergistically with any and every other mental enhancement you might
possess."
200CP,Explodey,Marvel Age of Krakoa,"You have the power to generate fiery explosions centered on
yourself, with a radius of a few meters and power comparable to a conventional
incendiary explosive. You’re immune to the heat and force of your own explosions."
200CP,Aftershock,Marvel's Kid Heroes,"You can generate large amounts of electricity, and absorb the same. Toss around
electric blasts, give anyone grabbing you a bad time, even turn
into a person made of electricity to arc short distances or run
yourself through wires or metal surfaces, which you can also
stick to."
200CP,Aftershock,Marvel's Kid Heroes,"You can generate large amounts of electricity, and absorb the same. Toss around
electric blasts, give anyone grabbing you a bad time, even turn
into a person made of electricity to arc short distances or run
yourself through wires or metal surfaces, which you can also
stick to."
200CP,Brick & Mortar,Marvel's Kid Heroes,"You can turn into a person made of concrete, but can decide at any given moment how solid or liquid any part of it is."
200CP,Energy,Marvel's Kid Heroes,"You can disintegrate things and absorb some energy from them, glowing brighter and
brighter as you do so. With a charge, you can ﬁre power-balls
from your torso which arc however you’d like at launch and
explode on impact. Since a power-ball would be fantastically
lethal against a human target, you can instead ﬁre off multiple
smaller power-balls that only stun. You can even learn to ﬁre
off a power-ball that explodes into dozens of little stunners.
Finally, you can power up by absorbing energy straight. There
is an upper limit to how much you can absorb, after which you
cannot disintegrate things, and absorbing more energy would
cause you to bulk up, destabilize and eventually explode unless
you vent some of the power."
200CP,Hardball,Marvel's Kid Heroes,"You can create spherical forceﬁelds of varying size within a
relatively short range. You could give yourself boxing gloves,
or protect you or a few people nearby. You can also create
electromagnetic balls that disrupt electronics."
200CP,Human Torch,Marvel's Kid Heroes,"You can engulf your body in ﬂames, then ﬂy, and create ﬁreblasts, ﬁreballs and
very simple pyrokinetic constructs. You absorb heat
automatically and cannot be injured by it."
200CP,Ice Guys Finish First!,Marvel's Kid Heroes,"You have cyrokinetic powers letting you create ice and snow, to freeze things over a wide
area, even become a person made of ice."
200CP,Loa,Marvel's Kid Heroes,"You disrupt matter, allowing you to pass through.
Like the phasing, but things you pass through crumble to dust
right after."
200CP,Phasing,Marvel's Kid Heroes,"You can turn intangible, and apply this effect to a couple of people you’re touching. In this
state you can ﬂoat. Passing through electrical systems causes
them to short out, and you can wipe hard-drives this way."
200CP,Acid,My Hero Academia,"Acid allows the Quirk User to produce corrosive fluids from their skin,
adjusting its solubility, viscosity and acidity. This acid is strong enough to melt through steel
and stone at max.
The properties of this fluid can allow it to take both glue or lubricant, and even so
viscous it can form a temporary yet powerful wall. On the downside, it may melt your
clothes or other things it touches you don’t wish to melt if you aren’t careful."
200CP,Animal Mimicry,My Hero Academia,"The one born with this type of Quirk has an appearance, traits
and abilities based on an animal in the natural world, one you may choose upon purchase.
The various special abilities bestowed upon the one with this Quirk vary based on
animal selected, tending to be exaggerations of that animal’s natural abilities taken to the
next level.
Examples of such would be a Frog Human with a powerful extending tongue, wall
crawling, camouflage, super jumping and super swimming abilities.
Another example would be an Orca Human which would have great strength and
durability, as well as the power to emit concussive sound blasts.
The major limitations of this Quirk are based on the animal selected, but usually
severe. Aquatic Animal Humans need to keep hydrated for their own health way more than
other, while cold blooded animals often become extremely lethargic and weak in the cold."
200CP,Assault,My Hero Academia,"A simple Quirk, this one allows the user to increase the speed and power
of their punches. Scaling off of the initial power of your punch, even a weakling could
pulverize brick with a single bullet fast blow. Those who work on power and form will see
incredible gains in return.
Outside of the destructive potential of the user’s arms, the rest of their body lacks
the offensive presence and protection, opening up potential for brutal counters."
200CP,Black Cat,My Hero Academia,"The user of this Quirk causes a target to generate a pulling/weakening
field in a cylinder pointed up around them after tripping them as they walk or run and
making them fall.
This field makes it appear as if the target has been given bad luck, as random
miscellaneous close to them or above them get pulled their way, such as statues or branches,
and can make projectiles fired at them drawn in, causing them to be more accurate and hard
hitting.
The weakening field isn’t very strong by comparison, but puts enough stress on
supports like nails, rope and otherwise that the first effect can break them and make things
fail for or around the target.
The user of this Quirk, besides the strange activation method, is also limited by
minor backlash the longer they keep their Quirk active. Like karmic backlash, they’ll develop
the same effects over time until deactivating the Quirk."
200CP,Blood Knight,My Hero Academia,"The Quirk user has minor regeneration and heightened blood
regeneration that allows them to lose multiple times the blood that would be lethal to any
normal human. Additionally, it holds unique coagulation properties.
Whenever the Quirk user is injured to the point of drawing blood, their blood
instantly spreads and coagulates in the form of flexible plate armor. The more the Quirk user
is injured, the more seriously they’re injured, the more armor of blood they’ll gain making
them harder to hurt.
At the moment the user is wounded and the blood first starts to coagulate, it still
has the capacity to block small arms fire before hardening into a much more protective state.
Attacks powerful enough to push through before the armor fully hardens can brutally harm
the user before their protection goes up."
200CP,Brainwashing,My Hero Academia,"While you are willing it, anyone who verbally responds to you will
have their body fall under your complete control, forced to do what you say.
Refusing or being unable to respond to you allows them to avoid the effect, and the
effect may be broken by a sudden great deal of pain. Victims are vaguely aware they’re
being controlled."
200CP,Brick,My Hero Academia,"The Quirk user has a more powerful and efficient physiology compared to
the average man or woman. Musculature weaving, bone structure alteration, there are a
number of complexities, though in basic terms it means they’re much stronger, faster,
tougher and enduring than others.
The Quirk user could throw cars through the air, outrun them on the interstate, and
just feel pretty sore if they actually got run over. The Quirk user has a higher metabolism,
requiring them to eat more than others. Takes active practice to reign in their strength for
delicate work."
200CP,Cement,My Hero Academia,"This Quirk gives power over cement and cement-like materials simply by
being in contact with them, able to exert a great deal of control over a large quantity of
material at once.
The user of this Quirk is able to even expand, grow or repair the materials they’re
using as well. While powerful and convenient in urban settings, this Quirk falls off hard in
places lacking in concrete."
200CP,Clones,My Hero Academia,"This Quirk allows the user to expel glowing, ectoplasm-like slime that can
then be transformed into clones of the user. The user can either create numerous clones of
the same size as the user or expend more ectoplasm to make bigger clones.
The number limit is normally in the tens for same size clones, but can fluctuate
depending on mood. A good mood increases the number a bit, while a bad mood decreases
the number a bit."
200CP,Dead Zone,My Hero Academia,"The Quirk user is able to reduce the electrical conductivity of
everything in the area around them down to zero. This effectively applies nigh immunity to
lightning and other forms of electrical damage to the user and others in the area while in
effect.
Electronics and other electricity reliant objects in the area will also shut down while
the Quirk is active, of course. The user can extend or contract the dead zone to the
maximum range of around half a kilometer or down to just the user’s body.
Dead Zone doesn’t penetrate living beings, unable to shut down nerve signals in
humans and other animals. The user is unable to affect the shape of the dead zone, just the
size, rendering them near incapable of shutting down specific electronics if that’s their
desire."
200CP,Dental Manipulation,My Hero Academia,"The user is able to enlarge, shape, and control their teeth to
form dangerous branching blades. The user of this Quirk’s teeth are also made many times
stronger.
The user of this Quirk is able to pick themselves up and move around by their
branching teeth with no apparent discomfort. Knocking out the user’s teeth can cripple this
Quirk."
200CP,Diagnosis,My Hero Academia,"This Quirk can be used to give the user incredible amounts of varied
and specific knowledge on the body of those visually observed.
With this power, the user is able to get precise measurements of all kinds, age,
medical conditions, broken bones, birth marks and more. The longer the user continues to
observe a target, the more details they are able to learn, almost endlessly.
Useful for locating enemy weaknesses or applying medical treatment in equal parts.
The user must continue observing for additional details and observe a target in person.
Collected details through this Quirk can be remembered incredibly well."
200CP,Dupliarms,My Hero Academia,"The user of this Quirk bares two tentacles on each side of their body
connected to the arms by webbings of skin. These tentacles have the ability to replicate
enhanced versions of the user’s body parts.
Ears would be more sensitive, vision of eyes more acute, hands having stronger grip
strength, mouths having stronger teeth and jaws and so on.
These tentacles can sprout more than one additional body part each, but each past
the more sprouted, the less efficient they become."
200CP,Dust Bunny,My Hero Academia,"The Quirk user has powerful, highly refined control over dust and
similar particulates over a wide area. With this ability, they may simulate the power of a
sandblaster to grind away at things with abrasive powder or obscure the area around them
by kicking up a dust storm.
The Quirk user may also create ‘dust bunnies’, which are filthy, fluffy constructs with
the capacity for flight and carrying people on the air.
Overuse of Dust Bunny causes the skin to chafe as the ability eventually attempts to
shed dead cells faster to supply the Quirk user with more material."
200CP,Earphone Jack,My Hero Academia,"This Quirk manifests as a pair of elongated, prehensile earlobes
ending with appears to be earphone jacks that can penetrate and insert themselves into all
sorts of things.
The user can channel amplified sounds of their heartbeat into a penetrated target to
wreak internal havoc with vibrations, or listen in to faint sounds on the opposite side of an
object.
The earlobes can stretch up to 6 meters and even be used as stone shattering whips.
Aside from obvious limitations, louder sounds can damage or cancel out Earphone Jack’s
effects."
200CP,Easter Eggs,My Hero Academia,"The user of this strange quirk is able to cause bizarre, speckled eggs
to pop out of their hands. These eggs, coming in three varieties, have explosive properties
when cracked open.
Blue eggs with red spots explode in a plume of flame and smoke, the yolk continuing
to burn and produce red smoke for a short time after triggering. This smoke doubles as an
irritant.
Green eggs with orange spots explode in a spray of sticky orange slime that behaves
almost like glue, aggressively clinging to anything it touches. The more victims struggle
against it, the more resilient it is.
Purple and yellow eggs will produce a small, localized tornado with vacuum like
suction that pulls those nearby into it for a short time. Crackling thunder periodically booms
from inside.
Eggs are always made in a specific sequence, Blue to Green to Purple to Blue again
and so on. This quirk uses calories as a resource. The yolks themselves carry these effects,
take that as you will."
200CP,Elasticity,My Hero Academia,"The Quirk user is able to bestow elasticity to whatever they touch,
including large objects, the ground and even the air. This can be used to manipulate the
environment to one’s advantage, such as creating trampolines for 3D movement, or trapping
others in air-based rubber walls.
The Quirk user is unable to affect living things with their Quirk, limiting them to
environmental and object-based manipulations. The Quirk user may not manually disable
the effects of their quirk. Objects affected will instead return to normal after a moderate
amount of time has passed."
200CP,Erasure,My Hero Academia,"The user of this Quirk is able to shut off the target’s Quirk simply by
staring at them. While powerful and unable to be resisted, it has a number of weaknesses.
The effect wears off when the user closes their eyes or loses track of the target.
Quirk users with passive Quirks like Mutation or Animal Mimicry types are immune.
Finally, prolonged usage can dry out the user’s eyes on account of needing to keep
them open to prolong the effects."
200CP,Explosion,My Hero Academia,"The user is able to excrete sweat similar to nitroglycerin from their
palms and ignite it to create various explosions at will, which includes propelling one’s self
through the air.
The more the user sweats, the more powerful the explosions. During cold weather,
the nitroglycerin-like sweat requires more time to ignite, as opposed to heat, where
conditions are optimal for ignition.
The user needs to be able to sweat to create explosions. Additionally, the user’s arm
and shoulder aren’t fully immune to the kickback of the explosions, wearing them out with
repeated use in a short period of time."
200CP,Extend-o-Hair,My Hero Academia,"The Quirk user has incredible control over their own body hair,
allowing them to grow and manipulate it with great ease. Hair is exceptionally healthy and
strong, allowing them to leverage it for offense, defense and utility. This includes self-
enhancement or enemy incapacitation.
The Quirk user grows hair from most everywhere to supply the Quirk. The Quirk
user’s hair is prone to tangling, which can prove painful at times."
200CP,Fiber Master,My Hero Academia,"The user of this Quirk is able to freely control and manipulate
textiles. This gives them an advantage against anyone that wears clothes, which is to say
most everyone.
The user is able to textiles as completely intact clothing, or unravel clothes or cloth
into fibers and strings for alternative uses such as setting traps or binding enemies.
Notably, this power can also be used to aid allies by moving them out of the way of
an enemy attack. This power is notably tricky to use and difficulty varies by the type of
textile, working best on denim, while sweats remain tricky."
200CP,Flashback,My Hero Academia,"The Quirk user is able to record the area and events around them,
either a single moment like a snapshot or an extended recording. At any time after that, they
play this recording back in their mind and inspect it from new angles, walking through this
recorded memory.
Listen in on secret conversations that were too far at the time to hear, inspect
details again and again for some clue, navigate a crime scene as it progressed for the
identities of all those involved. Time slows to a crawl as you have this “flashback"" allowing
you to see things again and again.
There is a range of approximately forty meters maximum in an orb around the user
that may be recorded. They may only record thirty minutes of time at a time. The more
recordings kept, the harder it becomes to navigate them."
200CP,Foldabody,My Hero Academia,"The user of this Quirk is able to control the thinness of their own body
and stretch, allowing them to spread or unfurl themselves while becoming thin as paper or more so.
This allows the user to pass through incredibly narrow passages or strike completely
undetected. The primary limitation is the time it takes to transform, and movement is a bit
tricky after doing so."
