Setting,Perk/Item,Description,Price
The Elder Scrolls V - Skyrim,Seeking Your Roots,"At first glance appearing to be a humble farm plot, this is really the result of a master alchemist’s life’s achievement. You’ve inherited the results. The soil here is specially treated. The fields manage perfectly well unattended, only requiring some replanting of seeds after a harvest. This property will makes you one of the only people able to cultivate a certain rare root: Nirnroot. Giving a soft glow and telltale hum the plant is a unique sight for many. Along with the field itself is copious research notes for fantastic formula using the plant that are well beyond what can normally be achieved with alchemy. If the noise and light from this farm would bother you the field can be used to cultivate two other options instead. There’s equally rare Jarrin Root which needs no alchemy to be exceptionally deadly. Or, there’s Canis Root, which is a natural repellant for werebears and makes an excellent tea.",200
The Great Ruler Part 2,Divine Beast Haven,"What is trash to some is a treasure for others. Take this Divine Beast Haven for example. This is the location where two as-of-yet unspecified supreme divine beasts fell. This event has led to the formation of odd pools containing incredibly pure beast essence. Should a human absorb these pools, they will be able to gain a physique similar to that of one of the divine beasts that fell. A phoenix physique would exhibit great speed, a dragon physique would show strength, a tortoise would have a sturdy defense, and so on. However, as mentioned, this area is of little use to Divine Beasts, the effect barely being noteworthy for those who already possess the body of a beast. Hidden deep in this mountainous region is a strange fruit growing from the skulls of the two beasts. Consuming this fruit will allow you to gain the most perfect complete physique, potentially even a blend of both of them if you are lucky. Every ten years this Haven will open, allowing people to compete for the pools hidden within.",200
The Legend Of Zelda - A Link To The Past,Apple Orchard,"When all was said and done, two versions of Link chose to leave the land of Hyrule in an attempt to protect the Triforce from any more would be thieves. The other two stayed with Princess Zelda, and of those two only one remained a knight. The other one went back to the life he had before hearing her voice in his head, that of an apple farmer. You now have a small plot of land containing a small home fit for two, and of course a decently sized orchard of apples. Said trees will grow into delicious fruits will the bare minimum of care, and if you take great pains to give them the best you can give, they will occasionally pop out an enchanted apple, capable of healing any injury short of death. If you took ‘The Fruit of One’s Labor’, you can change this from apples to whatever you chose previously.",200
The Legend Of Zelda - Skyward Sword,Pumpkin Harvest,"For a flying island, you’d think that the place would eventually become barren. Crops pull nutrients out of the ground, and with skyloft disconnected from the rest of the world, they would have no way to draw in more. Maybe they’re amazing at fertilization, maybe it’s magic. They do have a waterfall that is still falling after two thousand years after all. Anyways, you now have a decently sized patch of ground that seems to grow pumpkins at an absolutely astounding rate. Simply throw down a handful of seeds and by the end of the week your garden will be full to bursting with pumpkins - more than enough to feed a dozen people for the week it took to grow them. Sadly, this place can only grow pumpkins. Don’t ask me why, I guess they’re Hylia’s favorite fruit or something?",100
Three Star Gauntlet,The Garden,"This is 4 acres of premium farmland that will perfectly support whatever food crops you wish to grow there. All four acres have the same microclimate, but each can be subdivided into up to 16 equal-sized blocks where custom trace nutrients or flavorants can be imbedded in the soil per planting with a handy command console that comes included. Anything that’s not farming related (fences, farm equipment, livestock, etc.) that you leave out there will be stolen by rabbits. It is attached to your warehouse after the jump and as close to your restaurant as local zoning allows during the jump. Each additional Gardener among your companions counts as one ‘More Land!’ rather than each getting their own Garden. ",200
Tremors,Ranch,"A large farm/ranch that raises animals and crops of your choice. I recommend a suitably hardy selection given the sort of environment it’s likely to be placed in here. Running the place is a full time job, but everything will be just fine when you come back after being chased away by graboids or distracted by something time-consuming and you don’t have anyone to look after it. Replaces lost animals and plants monthly after inevitably being destroyed.",400
Über,Farm,"A small plot of land and a plain house, out of the way of the real conflict. Surviving off the land will be something of a struggle but unless you bring trouble here yourself it will pass you by without posing a threat to your life. May become a warehouse attachment or be imported on a Jump-by-Jump basis after finishing this Jump.",200
Warhammer Fantasy - Amazons,Secret Garden,"Most Amazons have a garden of t their own, given they are all trained in at least a basic knowledge of how to grow and use the plants of the jungle for varying purposes. Your garden is both particularly large and filled with all manner of strange, deadly and wonderful plans and bugs. It encourages growth greatly in plants and seems to be able to support plants from any normal environment regardless of where the garden actually is, though unique or supernatural environmental plants won’t find themselves helped here. The garden retains changes to it, including carrying plants over to future worlds that you have placed in it, and will attach to either a property you own or be in an isolated location.",100
Warhammer Fantasy - Halflings Of The Moot,The Family Farm,"Farmlands are the staple to The Moot and to halfling ways of life. Entire bloodlines are dedicated to caring for and working the land belonging to their forebears, ensuring that in return the land cares for them with its bounty. A lesson that has been drilled into you in turn, even as your old man left the farm to you in his will.

All four-hundred-and-forty-four acres of your family farmland has been left to you. Every single inch of it has been well-maintained over the years, the soil almost preternaturally easy to till and plow by the efforts of you and your farmhands. Some traces of the Wind of Life have permanently seeped into the land as well; Not only does its bounty grow half-again as large as it would have normally, but the land seems to resist the taint of dark magic such as the necromantic energies of Sylvania, or the twisted touches of Chaos.

Additionally, there is a small-but-comfortable farmhouse on the property, along with a couple sheds full of farming equipment and a barn for any working beasts you may need.",400
Warhammer Fantasy - Wood Elves,Garden of Hope,"The Treefolk either cannot replenish their numbers, or cannot do so at rates meaningful enough to arrest the depletion of their ancients. With each Elder that falls, the other Elders of their kind absorb his strength and perhaps lesser spirits return to the forest entirely. And yet, with your investment here a miracle is realised. This enchanted field of foliage is no larger than an Imperial nobleman’s garden, but legend has it that it was torn from Isha’s very own garden long ago-for within, a spell of divine power can turn the seeds of trees into Treemen. The natural magics grounded here are powerful in a way that rivals the Isle of Rebirth in distant Ulthuan and could conceivably be harnessed by a skilled mage, but the process of rebirth takes time; left alone, it would normally take almost a decade for young Treemen to grow and arise-assuming the tree matures like those of this world anyway, considering a healthy tree is required for the nascent spirit to inhabit it. But aha, this pot of land isn’t alone is it? For one skilled in the Lore of Life as even a regular Treeman or a powerful Spellsinger, the natural energies here can be carefully invigorated to shorten the growth of Treemen to weeks. And at a stretch with other truly powerful fonts of life magic such as the Acorns of Ages-or much more adroitly, with power commensurate to the Mage Queen herself-dozens of Treemen can be awoken from here in moments. It cannot be stressed enough that such a natural bounty is an unimaginable source of hope for Athel Loren, and the story behind its creation the stuff of legends.",600
White Knight Chronicles,Farm Land,"Farm Land is as the name on the tin says, land specifically fenced off from the rest of the town for Farmers to use. It comes in three types ""Tilled Land"", ""Grazing Land"" and ""Fungus Farm"" that correspond to the Specialties of Farmers.

""Tilled Land"" has been picked clean of grass or weeds and worked extensively to allow crops of some kind to be planted, ultimately granting a bonus to Cultivated Flora for each Farmer Resident you have.

""Grazing Land"" is more tightly fenced in and has plentiful grass and small bugs for animals with various diets to feed on, and a small pen for livestock to sleep in. It grants a bonus to Livestock for each Farmer Resident you have.

""Fungus Farm"" is a structure built underground that's dark, damp and comes pre-stocked with wooden crates and shelves, ideal conditions to grow mushrooms. Fungus Farm grants a bonus to Fungus for each Farmer Resident you have.

""Low Quality"" Farm Land costs 50JP and is rather small, notable as something more for personal use than supplying for many. It grants a +1 to the relevant Job Specialty for each Farmer Resident you have.

""Medium Quality"" Farm Land costs 100JP and is both larger and higher quality, with healthier soil, damper condition or what have you. It's big enough to actually start providing for more than the Farmer's family. It gives a bonus of +2 to the relevant Specialty.

""High Quality"" Farm Land costs 200JP and is even larger and higher quality, enough so to truly be called a farm and coming with a large building for storing crops or keeping livestock safe (such as a barn). It grants +3 to the relevant Specialty for each Farmer Resident you have.",50/100/200
World Of Cultivation,Great Ling Field,"500 acres of high grade farmland suitable for planting ling crops in will attach themselves to your warehouse, this pocket farm is greatly beneficial to all plants you grow there allowing them to grow quickly without risk of pests. This farmland cannot be accessed from the outside however and should you walk outside of the farmland you will find yourself coming around from the other side.",600
