0,Perk Name,Cost,Description
57,Bag of Artichoke Seeds,100 CP,"""The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior."" You gain a full bag of Artichoke seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to this Artichoke plant, it starts to grow abnormally fast (maximum speed of 8 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest this Artichoke too often. It is a fall crop - its supernatural effect is most effective in autumn. This perk can be purchased multiple times."
58,Bag of Fiber Seeds,100 CP,"""Raw material sourced from plants."" You gain a full bag of Fiber seeds from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to these Fiber weeds, it starts to grow abnormally fast (maximum speed of 7 days to fully grow in perfect conditions). It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest this Fiber too often. This perk can be purchased multiple times."
59,Wild Spring Seeds,100 CP,"""An assortment of wild spring seeds."" You gain a full bag of Spring seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to plants grown from this assortment of seeds, they start to grow abnormally fast. It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest these too often. This perk can be purchased multiple times."
60,Wild Summer Seeds,100 CP,"""An assortment of wild summer seeds."" You gain a full bag of Summer seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to plants grown from this assortment of seeds, they start to grow abnormally fast. It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest these too often. This perk can be purchased multiple times."
61,Wild Fall Seeds,100 CP,"""An assortment of wild fall seeds."" You gain a full bag of Fall seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to plants grown from this assortment of seeds, they start to grow abnormally fast. It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest these too often. This perk can be purchased multiple times."
62,Wild Winter Seed,100 CP,"""An assortment of wild winter seeds."" You gain a full bag of Winter seeds of random quality from the Stardew Valley game. You can hold off releasing the bag into the world for as long as you like. They work like normal plants if left to grow in the wild. However, if someone or something plays an active role in cultivating and tending to plants grown from this assortment of seeds, they start to grow abnormally fast. It still exhausts the soil just as much as normal plants do. So it's probably a bad idea to harvest these too often. This perk can be purchased multiple times."
63,Artisan Goods,150 CP,"You gain extreme talent and above-average skill in creating various artisan goods inspired by Stardew Valley, along with the knowledge to create all the tools and goods you need. You also have a supernatural edge when crafting items similar to Stardew Valley artisan goods. The supernatural advantage is toggleable."
64,Fishing Mastery,150 CP,"You gain extreme talent and above-average skill in the field of fishing inspired by Stardew Valley game, along with the knowledge to create all the tools and goods you need. You also have a supernatural edge when crafting items connected to this field and when actually fishing. The supernatural advantage is toggleable."
65,Farming Mastery,150 CP,"You gain extreme talent and above-average skill in the field of farming inspired by Stardew Valley game, along with the knowledge to create all the tools and goods you need. You also have a supernatural edge when crafting items connected to this field and when actually farming. The supernatural advantage is toggleable."
66,Mining Mastery,150 CP,"You gain extreme talent and above-average skill in the field of mining inspired by Stardew Valley game, along with the knowledge to create all the tools and goods you need. You also have a supernatural edge when crafting items connected to this field and when actually mining. The supernatural advantage is toggleable."
67,Foraging Mastery,150 CP,"You gain extreme talent and above-average skill in the field of foraging inspired by Stardew Valley game, along with the knowledge to create all the tools and goods you need. You also have a supernatural edge when crafting items connected to this field and when actually foraging. The supernatural advantage is toggleable."
68,Combat Mastery,150 CP,"You gain extreme talent and above-average skill in the field of combat inspired by Stardew Valley game, along with the knowledge to create all the tools and goods you need. You also have a supernatural edge when crafting items connected to this field and when actually doing combat. The supernatural advantage is toggleable."
69,Chicken Coop,150 CP,"""Well cared-for adult chickens lay eggs every day. Lives in the coop."" This perk provides a coop full of chickens. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
70,Void Chicken Coop,200 CP,"""Well cared-for adult chickens lay eggs every day. Lives in the coop."" This perk provides a coop full of void chickens variant from Stardew Valley. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
71,Golden Chicke Coop,200 CP,"""Well cared-for adult chickens lay eggs every day. Lives in the coop."" This perk provides a coop full of golden chickens variant from Stardew Valley. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you. Yes, shells of their eggs are made of gold. Cool right? This perk can be purchased multiple times."
72,Duck Coop,150 CP,"""Happy adults lay duck eggs every other day. Lives in the coop."" This perk provides a coop full of ducks. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
73,Rabbit Coop,150 CP,"""These are wooly rabbits! They shed precious wool every few days. Lives in the coop."" This perk provides a coop full of rabbits. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
74,Dinosaur Coop,150 CP," This perk provides a coop full of dinosaur variant from Stardew Valley game. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
75,Cow Barn,150 CP," This perk provides a barn full of cows. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
76,Goat Barn,150 CP," This perk provides a barn full of goats. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
77,Sheep Barn,150 CP," This perk provides a barn full of sheep. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
78,"Pig Barn
",150 CP," This perk provides a barn full of pigs. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
79,Ostrich Barn,150 CP," This perk provides a barn full of ostriches. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
80,Horse Stable,150 CP," This perk provides a stable full of horses. You can delay releasing this into the world for as long as you want. Animals from this perk are unusually obedient to you, and when someone actively takes care of them, they become supernaturally productive. This perk can be purchased multiple times."
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
