0,,Free,Name,Jumpdoc,Chapter,Description
437,,200,Bloodchips and Stock ,Kara no Kyokai,Domain,"Shirazumi’s personal drug, his attempt at making others into those like him with a mix of his blood and supernatural compounds, was never going to work. It just became a very nasty poison, giving a long and slow death to those that took too much. You’ve got a supply of this deadly drug, as well as the tools to make your own. Your own private little drug making laboratory, tucked in deep to the hidden alleyways and warehouses, along with quite the supply of materials to use in making illegal substances. The supply restores, enough to potentially cover selling to a large section of Mifune City’s underworld, and you even have a slowly restoring supply of low level supernatural ingredients, often the bodily fluids of Magi or minor supernatural beings. 
"
438,,200,Cloak of Levitation ,DC Occult,Domain,"​An indestructible magical cape that moves according to the wearer’s will. This cape is a masterfully enchanted object that allows the wearer to fly at the speed they can move without the need to expend any of their magical energy, and considerably faster if they pour on the magic."
439,,200,Black Wings ,Madoka Magica: Wraith Timeline,Domain,"Did something or someone set you free...or bind you with grief?​ A pair of magical wings can sprout from your form, made of energy and entirely malleable in shape and size. This enables you to fly at your running speed, and merely having them revealed like this greatly increases your own agility. If you’re someone with...well, problems, you may choose to manifest these as wings of Grief, like Homura Akemi herself will eventually end up using.
"
440,,200,HIDDEN GROTTO ,Wolfwalkers,Domain,"A cave in a hidden valley, self-sufficient in food and water. Cave paintings tell the hidden history of the world you’re in, and convey some instructions in the magic or powers of the world - as applicable - and updating in each Jump."
441,,200,Magical Warding ,Warhammer Fantasy: Tomb Kings,Domain,"The runes and spells inscribed into the walls and interior of your tomb protect it from physical and magical damage, as well as protecting the inhabitants from magical spells. Each tier of this option grants a greater level of protection. At the first tier of 200TP, the magic will ward away giant catapults and battering rams, along with protecting the tomb from all but the strongest of wizards of this world when they are casting alone. (CG Note: Requires Tomb - Warhammer Fantasy: Tomb Kings first.)
"
442,,200,Magical Warding - Boosted (Mid-Tier),Warhammer Fantasy: Tomb Kings,Domain,"For 400TP, this magic extends so that not even dragons or giants could dent the walls of the tomb, even after days of pounding. The protections against magic will ensure that even the mightiest of mortal, or many immortal, wizards find no purchase on or within your tomb, though this may change if they can find outside empowerment. (CG Note: Requires base Magical Warding - Warhammer Fantasy: Tomb Kings first.)
"
443,,200,Magical Warding - Boosted (High-Tier),Warhammer Fantasy: Tomb Kings,Domain,"For 600TP, your tomb could survive a titan flinging a great pyramid into it, explosives that could pulverise entire castles or the blows from the strongest of artefacts, though that last one may batter through after days of effort. The warding runes are such that even Nagash himself with his Black Pyramid would not be able to penetrate the tomb with magic, not without exhausting every shred of power within that fell creation. (CG Note: Requires Magical Warding - Boosted (Mid-Tier) - Warhammer Fantasy: Tomb Kings first.)
"
444,,200,Mobility ,Warhammer Fantasy: Tomb Kings,Domain,"Perhaps the biggest weakness of your tomb, which may otherwise serve as an excellent base, is that it is immobile. This gives you a chance to fix that. For 200TP, you may give your tomb a set of legs to walk on. Whether it be a thousand centipede legs, 8 spider legs or two humanoid legs, it will allow your tomb mobility, controlled by yourself from a room within the tomb. (CG Note: Requires Tomb - Warhammer Fantasy: Tomb Kings first.)
"
445,,200,Make It Bigger ,Warhammer Fantasy: Tomb Kings,Domain,"The tombs of Nehekhara grew and grew over time, as each King competed to have his resting place be ever grander than his predecessors. It was not until Nagash created his Black Pyramid that the majesty and size of the first great King Settra’s tomb was conquered. Now you have the chance to make something that can be seen from across the desert. Each purchase of this option, up to a max of three, will increase the size of your tomb significantly. Greater size will also influence and expand several options later in this section, so it can be quite costly. For 200TP, your pyramid become several times as wide at the bases and reach heights of up to 400 metres into the air. (CG Note: Requires Tomb - Warhammer Fantasy: Tomb Kings first.)
"
446,,200,Make It Bigger - Boosted (Mid-Tier),Warhammer Fantasy: Tomb Kings,Domain,"For 400TP, your tomb will become the equal of Settra the Imperishable’s, standing at a colossal 800 or so metres tall and being proportionately wide. (CG Note: Requires base Make It Bigger - Warhammer Fantasy: Tomb Kings first.)
"
447,,200,Make It Bigger - Boosted (High-Tier) ,Warhammer Fantasy: Tomb Kings,Domain,"For 600TP, it will stand level with the Black Pyramid itself, at just under two kilometres into the air and wide enough to store a small city within it’s base. (CG Note: Requires Make It Bigger - Boosted (Mid-Tier) - Warhammer Fantasy: Tomb Kings first.)
"
448,,200,Teleportation ,Fate/kaleid liner PRISMA ILLYA,Domain,"You are able to teleport to anywhere within eye range near instantly.
"
449,,200,Mirror World Transfer ,Fate/kaleid liner PRISMA ILLYA,Domain,"You now know how to move into the Imaginary numbers region of a world. This allows you to move into a duplicate of the real world with nothing living there and any damage caused not harming the real world. The size of the area is restricted to the equivalent size of a football field.
"
450,,200,Creep Cave ,Warhammer Fantasy: Amazons,Domain,"A dark, dank place to call home. This small home is found in a dark cave, surrounded by a dark swamp, in a dark part of the jungle. Not many living things come near here and people are definitely made to feel very uncomfortable by the mere presence that suffuses this place. It doesn’t seem to affect you though, allowing you to have an isolated, quiet life. The dark home seems to enhance darker magic that is performed here as well, such as necromancy or blood magic, enabling it to have significantly more power than normal."
451,,200,Karaoke Parlor ,Mermaid Melody Pichi Pichi Pitch,Domain,"A karaoke establishment with a vast range of different songs for customers to try out – any song you have heard before. Each room even has a background screen that can play images to complement your song (even personal scenes that don’t make sense to be there). It is bound to be a hit wherever you set it up, but there is something else to it as well. Each karaoke booth has a machine to give you a score after each song. For normal, non-magical people, the machine works fine, but when magical beings visit, things are much different. No matter how their singing is, as long as no magic was used, the meter will give a very low score. The singers will become increasingly frustrated and determined to get a high score at any cost, even if it means using magic or transforming right there. As soon as magic is detected in the vicinity, an alarm goes off in your private office, and you can use the security cameras to locate your quarry.
"
452,,200,Training Grounds ,Lyrical Nanoha,Domain,"Interesting. It looks like a bunch of spare parts and some blueprints regarding some easy-to-assemble practice Drones and targets for magic, along with a big flat of land to build it on. With a bit of work, you could setup a nifty training ground for magical ability or physical fitness. Maybe even an obstacle course or two without fear of accidentally killing yourself or any trainees you pick up. Good way to sharpen your skills. This can become a Warehouse attachment post-jump, or be dropped in a secluded area in your next jump, being in the same setup as you left it last.
"
453,,200,Jichinsai 「地鎮祭」,Golden Sky Stories,Domain,"The Jichinsai is a human ritual to call the guardian spirit into the area – but the humans never realize that the guardian spirit was probably there all along. As a guardian spirit, you can claim a territory as your own, up to the size of a small village. This is your domain to protect, and once you decide on one, you can’t change it until a substantial amount of time has passed.

Within your domain, your rate of recovery for all matters such as health or magic improves dramatically, and you gain the respect of those who enter the domain. However, that isn’t the point of being a guardian spirit – you defend this area, and as such, it will flourish under your stewardship. For as long as you mark a domain as yours and protect it, all life will grow vibrantly within it.
"
454,,200,A Barrier of Perspective ,Touhou Project: Forbidden Hermit,Domain,"You have an extensive understanding of the arts required to create Gensokyo in the first place. Gensokyo’s boundary works off of perspective – one could travel between two similar barriers (such as between Gensokyo and the Lunar Capital) without ever leaving Gensokyo, but at the same time if they were to ever try to fly to the edges they’d “see” themselves travelling great distances while not actually moving at all, only discovering how little they moved when they turn around. You could use this easily to craft your own sealed dimensions.
"
455,,200,Making Holes ,Touhou Project: Forbidden Hermit,Domain,"You can create a hole in any physical barrier, such as walls and even the ground if you wished to travel underground. Holes you make can travel any distance, the only limitation being they must be between two places. They may be any diameter, though ones smaller than you will likely not be very useful. You could also use this to make someone fall into a deep hole if you want to be mean.
"
456,,200,Escape Artist ,DC Occult,Domain,"Either you learned it for putting on shows or out of necessity after being hog-tied for the upteenth time, you're become adept at escaping. Handcuffs, cages, or being blindfolded and chained up in the trunk of a car, you can escape from just about anything. You're not Houdini, but you're not too far behind, either.
"
457,,200,Fit Just Right ,Peter Pan,Domain,"Each Lost Boy gets to the Home Below the Ground through his own personal tree, which has been carefully hollowed out by Peter to fit only you. It is therefore critical that your proportions never change, so you have learned to wiggle your body just right so that you can always slide down the tree without getting stuck. You can now fit through any tight gap easily without getting caught. Your success getting into your tree stems half from your physical efforts, and half from your heartfelt wish that the tree is wide enough to fit you, which is thus made real by Neverland’s magic. Accordingly, the world itself will bend so that the gaps are just wide enough to slip through. However, the difficulty in using this jump increases with the size difference between you and the gap; if an opening is just a little too small for you, that’s easy enough, but good luck trying to enter a mouse hole as Godzilla.
"
458,,200,Private Apartment ,Peter Pan,Domain,"At a place of your choice in Neverland, you now have a small, veiled alcove, no larger than a bird cage, that opens up to your private quarters, with all of the amenities and decorations you need. The furniture is some of the most classic and prestigious of fairy works, and the home has the feeling of a nose turned permanently up. No matter your size, you can shrink down to enter – and so can anyone given a personal invitation by you to visit. Due to its small size, enemies will never notice its presence, allowing you to spy on them if they pass it by. After you finish the jump, it is attached to your warehouse, but you can place it in a new location in another jump if you find a good place.
"
459,,200,Always Another Tunnel ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"Sometimes you need to make an escape. The heretic proves too strong, or your lead was an ambush. Luckily for you, a Grey Wizard always has a way out. Whenever you find yourself surrounded or pursued by enemies, Ulgu itself guides you along paths that will conceal you from their eyes and allow your flight to proceed relatively unmolested. It is up to you to follow these paths, but now at least you’ll never be caught with your back to a wall.
"
460,,200,Grey Tunnels ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"This small collection of secret tunnels, inconspicuous alleyways, secret compartments, and trapdoors is yours to place within any city or village you wish to operate in on a mid-to-long-term basis. Hidden from view with simple tricks of light and shadow or enough Ulgu to hide entrances in plain sight, these tunnels would let you cross even a city the size of Altdorf in utmost secrecy. Rooms for hiding all sorts of items (or yourself) are carefully marked with the sword code of the Grey Order to ensure the utmost safety and secrecy while you protect the unsuspecting people from themselves. Relocating your network to another city, town, or village is as simple as wishing it so, and none shall be any the wiser.
"
461,,200,Irene’s Broomstick ,Legend of Zelda: A Link Between Worlds,Domain,"“All right, Irene's Taxi here. That'll be 9,999 Rupees. Nah, just messing with your head. I couldn't take money from you. So buckle up.”

This mundane-looking broomstick has been enchanted to make it rideable through the skies. Just by sitting atop it and pointing it in the way you wish to go, the broomstick will begin to fly in that direction. Although riding it will pose a challenge at first, you will undoubtedly learn how to control the broomstick’s speed and movements more precisely with practice, perhaps helped by a certain witch?
"
462,,200,Sanctuary ,Legend of Zelda: A Link to the Past,Domain,"And this is where the passageway that Zelda told Link about led. A small church to the north of the Royal Castle, tended to by one of the Sages. More importantly, it had enough magical barriers that not even Agahnim’s new army could break through. He had to sneak in through an undefended entrance in order to get in. You might want to be careful to close that behind you by the way. But I digress - when your castle is taken, your home in flames, and as your other safe haven's fall, the barriers on this place will grow ever stronger. When you have nowhere else to go, when all else fails, you can always come here to take sanctuary.
"
463,,200,Apple Orchard ,Legend of Zelda: A Link to the Past,Domain,"When all was said and done, two versions of Link chose to leave the land of Hyrule in an attempt to protect the Triforce from any more would be thieves. The other two stayed with Princess Zelda, and of those two only one remained a knight. The other one went back to the life he had before hearing her voice in his head, that of an apple farmer. You now have a small plot of land containing a small home fit for two, and of course a decently sized orchard of apples. Said trees will grow into delicious fruits will the bare minimum of care, and if you take great pains to give them the best you can give, they will occasionally pop out an enchanted apple, capable of healing any injury short of death. If you took ‘The Fruit of One’s Labor’, you can change this from apples to whatever you chose previously.
"
464,,200,Flippers ,Legend of Zelda: Link’s Awakening,Domain,"Magic flippers that only appear on your feet when you need them to. They allow you to swim better than you normally good and let you fight the current pretty well. You can also hold your breath a lot longer than you normally could.
"
465,,200,Roc's Feather ,Legend of Zelda: Oracle of Ages,Domain,"The Roc’s Feather is an interesting little thing. Plucked from some divine bird in ages past, anyone who holds onto it finds themselves with enhanced jumping capabilities. A child who could only jump two or three feet would find themselves doing twice that with ease. If you were to combine it with a Pegasus Seed, you’d find yourself moving vast distances without touching the ground. In addition to the feather itself, you also get a Quicksand Ring, which lessens the effect of forced movement upon you - that is, quicksand, conveyor belts, heavy wind currents... It’s an odd effect, but useful.
"
466,,200,Skeleton Key ,Legend of Zelda: Oracle of Seasons,Domain,"So many of the Hall of Essences, the dungeons, and the temples of whatnot are designed as puzzles, requiring you to go all over the place and look for a key of some kind in order to progress further. Wouldn’t it be nice if you could just... Skip all that nonsense? Thankfully, you can. This small key, seemingly made out of bone, can open up locks of any kind. Well, not any kind. There is a small catch. While the lock can be a magical lock, it still has to be an actual lock. While that does mean it could undo a thousand year old seal so long as it was tied to a keyhole, it does make it not so useful if you need to swipe a passcard instead.
"
467,,200,Treetop Shrine ,Legend of Zelda: Oracle of Seasons,Domain,"By now you should know that the Maku Tree represents a truly staggering amount of magical energy, most of it tinted with the colors of nature. With that in mind, it should come as no surprise that a fully grown and a fully empowered Maku Tree is infested with fairies. Specifically, atop its limbs are a number of small caverns made from branches and leaves, and inside each one is a weak fairy. Now, in and of themselves, they aren’t terribly strong. Make no mistake, each one can heal you of the most grievous wounds, but they would only be able and or willing to do so once. However, every now and then one of them might find or make something useful to you - fairies are often pretty important to the hero's journey, you know? But, since future jumps likely won’t have a Maku Tree unless you go out of your way to make one, the Shrine can relocate itself to any heavily wooded forest, jungle, or similar local, often near your starting location.
"
468,,200,Witch’s Broomstick ,Legend of Zelda: Oracle of Seasons,Domain,"In northern Holodrum there lies a town known as the Sunken City. In that city lives a woman named Syrup and her grand-daughter, Maple. They are witches, and do witchy things like brew potions (expensive but worth it) and ride around on broomsticks. Well, Maple does. Syrup mostly just tends the shop and makes potions from the ingredients that Maple gathers. That aside, you have somehow gotten your hands on a flying broomstick of similar make and model to theirs. Maybe it actually is Maples, and she gave it to you after she upgraded to a vacuum cleaner? Yes, that's a thing."
469,,200,Roc’s Feather ,Legend of Zelda: Oracle of Seasons,Domain,"The Roc’s Feather is an interesting little thing. Plucked from some divine bird in ages past, anyone who holds onto it finds themselves with enhanced jumping capabilities. A child who could only jump two or three feet would find themselves doing twice that with ease. If you were to combine it with a Pegasus Seed, you’d find yourself moving vast distances without touching the ground. Alongside this feather comes the Roc Ring, which mildly decreases your weight, allowing you to step on less than solid footing without it crumbling beneath you.

Normally you can only use one Ring no matter what. Gear Rings can be used without penalty.
"
470,,200,One On One ,Legend of Zelda: Twilight Princess,Domain,"Sometimes you just need to beat down a hero without any of their pesky friends trying to help them. When that happens, you know a special, magical technique that will create an impenetrable wall around you and your opponent, preventing them from escaping and anyone else from trying to help them until one of you is dead. You can add more than just one enemy to the arena if you’d like, but for each ally it encompasses there must also be at least one additional enemy. This technique can also be used to seal doors behind people to similar effect, if you’d prefer something a little more ominous."
471,,200,Recorder ,The Legend of Zelda,Domain,"This magical whistle has a nice sound to it, and it can open certain secret passages in the world as well as harm sound-sensitive enemies, but it’s chief use is that it is capable of allowing you to transport yourself to dungeons you have already defeated."
472,,200,Recorder ,Legend of Zelda: The Adventure of Link,Domain,"This magical whistle has a nice sound to it, and it can open certain secret passages in the world as well as harm sound-sensitive enemies, but it’s chief use is that it is capable of allowing you to transport yourself to places you’ve been before - though where you can set as a warp point depends on if it can be considered a “safe place” such as a forest clearing or an anteroom.
"
473,,200,Pegasus Boots ,Legend of Zelda: Hero of Worlds,Domain,"Increase your speed drastically, but sacrifice your control almost completely for a wild charge."
474,,200,Brush of Truepaint ,The Elder Scrolls,Domain,"One of the incredibly rare Aedric Artifacts, this paintbrush is said to have been fashioned from Dibella's own hair. The brush allows the wielder to enter a painting canvas and create things simply by painting them, even living creatures like trolls."
475,,200,Hearthfire - Alchemy Tower ,The Elder Scrolls,Domain,"For the budding alchemist, there's no place better for practicing their craft. With expertly crafted alchemical tools, and plenty of space to store a large number of both alchemical ingredients and potions, it's the best place to be.

(CG Note: Requires Hearthfire - Basics - The Elder Scrolls first.)"
476,,200,Hearthfire - Enchanting Tower ,The Elder Scrolls,Domain,"The art of enchanting is a delicate thing, so it pays well to have an area where it can be performed safely. For those trained in enchanting, this is the perfect place to practice your craft, with an enchanting table as well as a station where you can create your own magic staves.

(CG Note: Requires Hearthfire - Basics - The Elder Scrolls first.)"
477,,200,Hearthfire - Magical Protection ,The Elder Scrolls,Domain,"Magic is a powerful force in this world, and is great for protecting buildings. Your walls are stronger, and are resistant to magical attacks. There are also multiple magical traps for anyone stupid enough to attack your home. It also helps keep your home at an ideal temperature at any point in the year, just as an added bonus.

(CG Note: Requires Hearthfire - Basics - The Elder Scrolls first.)"
478,,200,Hearthfire - Teleportation Grid ,The Elder Scrolls,Domain,"Aren't you just tired of walking everywhere, and want a more magical solution? In a fair amount of rooms within your home, there's a pad where you can teleport to other pads inside your home. You also now know a special spell, allowing you to teleport yourself back to your home, which you can teach to others.

(CG Note: Requires Hearthfire - Basics - The Elder Scrolls first.)"
479,,200,Fruits Of The Forest ,Genshin Impact,Domain,"There are many different ingredients and materials in this world that you are unlikely to find in any other. With professions such as alchemy relying on these very things, it would be remiss if you didn’t have access to those items later. As and when you wish, you may enter into this moderately sized space filled with lush plant life and creatures in a variety of environments. In many ways this space would appear similar to that of a pocket realm or domain. Every few days any plants or animals that have been harvested will reappear, though rarer species such as regisvines and the like will take longer. In future worlds, you can add other species to the space by simply bringing them inside."
480,,200,Mountain Of Rock ,Genshin Impact,Domain,"A blacksmith is worthless if they don’t have any ore to work with. Teyvat is home to many kinds of ores. Some ores are mundane, while some are far less so. You have gained access to a space containing a rather large mountain. Dotted around, on, and inside the mountain is a veritable cornucopia of ores waiting to be mined. From common iron and white iron ores, to crystal chunks and jadeite deposits, to even the rare starsilver and electro crystals, they all can be found in varying amounts. Any ore harvested will reappear in a week or so. When you enter new jumps in the future, new mountains will appear. Unique ores can be added to those mountains by simply bringing some raw samples inside the space."
481,,200,Steps In The Air,Genshin Impact,Domain,"Some of the beings within this world have the ability to float. Spirits of the elements, abyss mages, and even the Traveler's trusty companion Paimon are able to walk through the air as if it were solid ground. Like these beings, you too have the ability to float. By expending your energy in a minute but steady flow, you can levitate off the ground and move about as fast as if you were on land. Doing this does drain your stamina in the same way walking or running the same distance would, but it will make navigating up rocky mountains and plains much easier."
482,,200,Rod of Discord ,Terraria,Domain,"A rod that can be used to teleport short distances. It will automatically compensate to ensure that you don’t teleport into rock or telefrag yourself. It requires a very small amount of magic to use, but this version does not induce Chaos State when used in rapid succession."
483,,200,Magical Laboratory ,World Seed,Domain,"Now this is a fitting lab for an aspiring scientist, mad or not. It has all the tools and equipment needed to contain and study any kind of magical creature and phenomenon, or to bring arcane secrets of the universe to light. And should you ever not have the right machinery at hand for whatever you want to do, the lab will upgrade itself and produce what you need in an instant. Now, the only thing holding you back will be the limits of your own intelligence. After this jump, it will attach itself to your warehouse, and may appear in any location you desire in other worlds you might visit."
484,,200,Grave Matters ,Konosuba,Domain,"Few enough can afford a proper send-off these days. Graveyards like the one you find next to a property of your choice that you own or connected to your warehouse are just such things, filled with the restless dead and unsent spirits. It’s a large graveyard too, hundreds of graves that will be regularly refilled on a yearly basis, though those interred will be mostly ordinary people or low level adventurers. If you’re wanting the beginnings of an undead army it can help or you could just make yourself feel good by helping these guys on their way to the afterlife."
485,,250,Bat Castle,Fate/Legends - The land of The Rising Sun,Domain,"A vast palace that lies abandoned and empty. Who would leave such a fabulous fortification, so
thoroughly decked in luxury and wealth? The reality is that it is far from abandoned and the locals
are well aware, for it has a supernatural resident. That being yourself. This large Japanese castle is a
place of power for you, enormously raising your statistics while present inside. Youkai of middling
power become powerful enough to contend with Tamamo the Fox. Not that such power is obvious, as your presence is easily concealed while within the castle grounds. Only the sharpest of magical
senses can find your presence while within, even if you stood right in front of an otherwise eagle
eyed hunter. 

The castle can be summoned to your location, in full or miniature form, and so quickly that it can
even defend from attacks. Magical spells find themselves sputtering out harmlessly against the
instantly manifested walls of your castle. With some confidence in you, the castle can also attack on
it’s own, physically animating to crush your enemies. Who knows what form this might take, anything from levitating parts of it’s materials to transforming into some sort of mechanised
humanoid being. For a more reasonable use of the castle while outside of it’s grounds, you can also
temporarily summon the boosting and presence concealing effects to aid you and small groups of
allies near you. By declaring where you are standing as your territory, you can benefit for a few
minutes from those powers and even focus them towards Endurance, Strength, Agility or Mana
specifically to greatly enhance the boost at the cost of the other benefits.

In future worlds, the castle may remain as such or take on a fitting form, such as a known to be
haunted mansion or skyscraper. For the payment of 50CP extra, you can also create a secret room
hidden deep within the castle that can only be described as a NEET’s paradise, a luxurious
bedroom/living room that contains every delight a modern day Japanese nerd might want, even
including limitless electricity and junk food. Somehow, if you have the money, you can also place
orders for more media or collectors items to be delivered. "
486,,300,Property Catalogue,Worm CYOA v17,Domain,"Whenever you touch a object, being, or surface, its physical properties get added to your Property Catalogue. You may later choose to apply one of these properties to another object, being, or surface by touching it. These physical properties may be either something basic like texture, color, density, or durability; or a more advanced property like conductivity, reactivity, or even uniform chemical makeup. This doesn't work with supernatural or magical effects."
487,,300,Dimensional Warping,Worm CYOA v17,Domain,"You can manipulate the fabric of spacetime, allowing you to make non-euclidean regions that defy conventional physics. This would allow you to make things bigger on the inside, an endlessly looping stairway, or even a time dilation room. There is a somatic component to this power, requiring that you stretch and pull at the very fabric of spacetime with your bare hands. You may not reverse time, and you cannot cross dimensions either. The better your knowledge of a region, the higher the quality of the manipulations you do, making it almost impossible to accurately portal to a place you've never been to before. Due to your manipulation's somatic nature, complex or long-range manipulations require much more time to enact, possibly increasing by several magnitudes."
488,,300,Unlimited Food,Fate/Hollow Ataraxia,Domain,"You can open a portal once a day to the Emiya residence for dinner. Every time you arrive there will be a fresh meal prepared for you, something guaranteed to please you. The food can also be from any universe you’ve visited. Companions, friends, and family are allowed to follow you through the portal. As to whether anyone else is there, that is your option. Each time you pop in it can be to visit the people you left behind on this jump, or to visit an alternate reality of them, or to simply be alone with no one around. Nothing but full bellies and warm memories can be taken outside of this portal and back to your realm of existence."
489,,300,A World of Many Colors,Black★Rock Shooter,Domain,"The Otherworld, the manifestation of thought and emotion whereupon the Otherselves reside inside to shoulder the burden of grief placed upon them. This is a world where this system resides naturally, but you may leave this world someday and with it the world... and the Otherselves with it.

By taking this perk, if you are an Otherself or have Otherself companions, a section of the Otherworld comes with you, in the form of your territories and it will not interfere with any other of the new world’s systems even if its extremely similar to the concept of the Otherworld (IE: The Warp from Warhammer) and thus the existence as an Otherself is safely maintained.

If you pay 300 CP, you may instead bring the system of the Otherworld and Otherselves into the entire universe that you’re going into. Allowing the Otherworld to mix more freely with the new world’s systems, morphing and changing what is or, becoming an entirely different system that everyone can still interact with as you so wish. Primarchs with Otherselves merged together? Sure, why not!

This system is toggleable so you can choose how the interaction works on a general level (does it mix with similar systems or is its own thing, does your companions and yourself just have it or does the entire world have it.) Though you can only toggle it at the start of your jump unless you’ve some way to bypass this restriction and you will be warned when the world’s systems might interfere in ways that will make your jump harder or completely unrecognizable to what it was before."
490,,300,"Cavernous Maw, Pure white Feathers",Final Fantasy XI,Domain,"A Gaping mouth containing a limitless void within, either half buried or floating eerily a few feet above the ground, the Cavernous maws have many strange properties, one property is that they allow those who bear a pure white feather to travel between alternate dimensions. Though it cannot allow you to travel between worlds you can use it to freely travel between alternate dimensions that may exist in your setting."
491,,300,Counter Earth Ring,80s Sword and Sorcery,Domain,"This ring is set with a large, red crystal of unearthly nature. Its true power is only revealed if the wearer is put into great peril. Once per jump if the wearer is about to die, or otherwise reach a ‘bad end’, it will work to transport the wearer to another reality, avoiding that fate and seeming to disappear completely. The reality it transports the wearer to could be canon to the setting if it has alternate realities, an alternate timeline, or something else, but it will tend towards a barbarian filled realm of swords and warriors, and will never be directly fatal to the wearer."
492,,300,Sage Pill Plantation,The God of High School Jump,Domain,"A small plantation of Sage Trees, a few dozen in total, is now in a location of your choice, owned by you. These trees produce their fruit once every few years and the fruit tastes quite horrible. But they’re not eaten for please. Rather, eating a Sage Pill provides a significant increase in the user’s life energy, increasing their overall power for each pill they eat. Eventually, these pills might not provide a noticeable boost but unless you’re punching your way through mountains, they’ll be a handy snack. Normally these would be fatal for humans to eat without some sacred animal tears to go along with it but these trees will produce fruit safe for consumption by any being, not just demons."
493,,300,Godstones(Boost),Gods of Blood and Powder,Domain,"For an extra 300cp you won’t require blood sacrifices anymore to turn people into gods. Each 10 years or each jump, whatever comes first, the stones will amass enough power from the Else itself to elevate 1 person to godhood. You may still make blood sacrifices to get more gods

Requires Godstones to Purchase"
494,,300,Horse(Kaalki),Miraculous Ladybug,Domain,"Concept: Migration

Form: Glasses (become Sunglasses)

Tool: Horseshoe

Power: “Voyage” - Summons a portal to any location."
495,,300,Safehouse,High School DxD,Domain,"Because sometimes, you just need to hide from everyone and everything under the sun. This is a bolthole hidden underground, only accessible by a hatch that only you know the location of, located either away from civilization or in a building very few would think to look. It comes stocked with food, a self-sustaining electricity generator that powers basic utilities, and has several magical wards around it that make it difficult to detect you within. It’s not completely impossible to find, but unless someone is hell-bent on finding you specifically, it’s very unlikely."
496,,300,Ritual Room,High School DxD,Domain,"It’s a little difficult to practice complex magical formulas in public, so you came prepared. This is a room styled to your preferred magic system of choice, and all magic you personally perform within this room will enjoy both greater efficiency in mana and greater power. Also comes with spooky robes and basic ritual equipment and reagents for free."
497,,300,Space Diner,Fate/Legends - Servant Universe,Domain,"A cozy roadside diner, the sort any space-way traveller is glad to see. A well furnished kitchen and comfortable rooms to stay in, it’ll make either a tidy profit or a nice home to live in. Whatever end of the Galaxy it’s located on, rowdy sorts tend to make their way to it. The damage they cause can be annoying but you’ll always be meeting interesting new people with all kinds of fantastic problems. 

For an additional price, this can be upgraded to a whole space station of your own.  Like the famous one star Green Hell restaurant, this station is a much more involved experience. Your little diner/inn is more like an entire mansion or small village, with extensive facilities for just about any holiday someone could want. The rest of the station is filled with extensive biomes filled with wild ingredients, from dangerous animals to deliciously exotic plants. They might have to hunt them down themselves but any visitor is sure to enjoy eating a meal they had a hand in preparing. The space station will come with a few hundred staff attached already, skilled hospitality workers if you don’t mind that they’re all youkai of one sort or another."
498,,300,Library of Ruina,Library of Ruina V1.0,Domain,"Your own personal copy of the titular Library. This library can exist in its own dimension, but may safely materialise and deploy to an open area. Naturally it is larger on the inside and starts as a single floor, but grows to house several floors for different genres and topics. The size of a floor extends based on the number of books you own. You can freely shape the architecture and move books within with the power of your mind alone. Should you organise battles within the library, employees killed here will revive once the battle is over. A fact they forget every time battle begins. You can temporarily grant perks to hired employees within the library walls. If you have the energy and mental power to do so, you might be able to materialise objects and perhaps people from books contained within the library."
499,,300,The Purple Tear’s Set ,Library of Ruina V1.0,Domain,"Three powerful swords that, when equipped all at once, allows its wielder to automatically assume one of four stances: broad slashes, precise stabs, blunt impacts or outright focusing on defense. While in one of these stances, using the appropriate weapon seems to work better, whether by extending the range and power of attacks or repelling blows with more force. You might have noticed that there are four stances for three weapons, well, the fourth are your fists. Should one attune to all three weapons, a secondary ability is granted: the ability to travel through space and time. Although it may seem like time travel, the user actually transports themselves (and themselves only) to a variation of the world they seek. This ability is always taxing on the body and can only be safely performed once a day. It can also be blocked by those with better control of barriers and pocket dimensions."
500,,300,I Couldn’t Accept It,God Of War (2018),Domain,"Sometimes there are accidents that can take someone you care about from you, and there are times where you can’t accept that. Like Sindri you find that you are able to delve into the afterlife, or entrance to the afterlife, of your current setting to bring back someone who has recently passed away (within the past week). This can only be used once per person, per jump."
501,,300,Lunar Whale ,Final Fantasy IV,Domain,"“Birthed from womb of Dragon’s Maw, and borne unto the stars.” The Lunar Whale is a large airship, several times larger than the standard Airship. In addition to having more room, this ship is also capable of limited space flight, and able to be used to reach the moon of any planet you’re currently on, and back again, as needed. Its size makes it no faster than a normal airship, however."
502,,300,Underworld Demesne,Hades,Domain,"For those with more refined tastes, and a budget to match, the House Contractor is happy to offer to create an entire home from the ground up at a place of your choosing somewhere in the Underworld. This palace will be large enough to house both Gods and mortals with enough rooms to keep an entire entourage of each well situated and more than comfortable. There will be no need to worry about staffing such a large property, as many of the Underworld residents would leap at the chance for a change of scenery. You will find skeleton butlers, spiritualmaids,monsterous cooks, and equally unusual servants of all stripes just waiting to serve the whims of you and any guests you may invite onto the property. After your time in this world is through, you may place this property in any location you wish. It can be attached to your Cosmic Warehouse as easily as it can be set down nearby your entry point in any new world you visit."
