,,CP Cost,Name,Jumpdoc,Chapter,Description
,,200,Echt,Bleach,Modus,"The Quincy believe that pure blood is a sign of greater value. The mixed bloods, Gemischt Quincy who come from a Quincy parent and an ordinary human parent, are lesser. This sort of racial science has, unfortunately, been proven right in their minds. An Echt Quincy, such as yourself, is simply better. They are naturally capable of Blut use from birth and have a significantly easier time learning the various uses of Quincy power. Their Quincy abilities and magic are noticeably more potent. Of course, the Echt Quincy also tend to all be from old families of wealth and money. The sort that have the time to worry about racial purity. As an Echt Quincy, you’ll be regarded fairly highly by fellow Quincy that believe in these ideals and have the various benefits ascribed above. Those of other races will find similar benefits in terms of increased potency and ease of use, with some abilities known from very early on. Most species don’t care much for the pure blood socially though, apart from certain unpleasant sorts. "
,,200,Kido Specialist,Bleach,Modus,"Kido is far from a single unified discipline. The most obvious divisions are that of Hado and Bakudo but several groups exist outside of this numbered system as well. Kaido, also referred to as the healing arts, or the wide variety of seals and large scale barrier techniques apparently outside of normal Bakudo. 

You’ve found quite the gift for one such field of Kido, one of the above classifications or even just a type of spell like those that manipulate lightning or which suppress spiritual energy. You’ll easily make great strides of progress in learning your specialty and find it possible to take those arts well beyond the normal limitations. Much of this has to do with how easy you find it to modify existing spells that fit your chosen field. Hado 4- Byakurai is normally a single beam of powerful lightning but in your hands, it could quickly be used as a homing laser that chased foes till caught or a rapid fire blast of smaller lightning bolts or even act as a lightning rod towards your fingers to protect others. "
,,200,Active Hybrid,Bleach,Modus,"Some fit the hybrid life a little better than others. Breaking the boundaries between the races is just the beginning, the culmination of this event only comes from the combination of all you now have access to. You find it easy to quickly figure out ways to best use powers and abilities from different sources in conjunction with each other, often to greater overall effect. Using Hirenkyaku and Shunpo at once for greater control and speed or firing a cero from a golem manifested by your Shikai. At this stage, the primary benefits are often using multiple powers at once or creating synergistic combinations, such as mixing Kido spells with magic you know from elsewhere. 

With time and effort however, you are able to truly mix things together, creating entirely new end results. Powers, abilities and techniques that come from different sources like races or various energy sources can all be used for this. It might manifest as learning to combine your Bankai and Resurreccion to create a new form that combines the strengths of both with new abilities and increased power or a Heilig Bogen formed from a Cero to fire them enmasse with the benefits of a Quincy’s power. You might even learn to mix two different supernatural energies together into a new form. This does take time and often significant skill with each component piece but there are technically no limits on how much can be combined, beyond the increasing time and skill required. "
,,200,Astral Magic,Gloryhammer,Modus,"By tapping in to the Starlords’ ancient nexus of power, you are able to execute mathematical formulae that produce physical effects as if by magic. While these effects appear supernatural in origin, they are in fact the product of sufficiently advanced technology and interact with other effects accordingly.

To start with, you know a handful of spells, with the most powerful effects equivalent to being able to conjure spheres of flame that can burn ordinary men to a crisp. These spells have pre-programmed patterns, but their parameters are set by variables that can be manipulated. The more practiced you are, the more you can manipulate them to create more impressive effects. While astral sorcery is mainly used for flashy evocations, it is also capable of much more esoteric effects, though it will take much study and practice to master them."
,,200,Ability Cards(Upgrade),Mobius Final Fantasy,Modus,"Every 1-3 Star Ability Card in the game, which might not seem all that good of a deal until you consider the fact that there's around 3,000+ Ability cards in the game and a majority of them are 1-3 Stars. For an additional 200 MC you now get every single Ability Card in the game, which includes things like Black Meteor, Ultima, and Ultimate Boon(which is a Support Ability based off of the Knights of The Round summon from FFVII that applies a slew of buffs).

Requires Ability Cards to Purchase"
,,200,Advanced Monk Job Cards,Mobius Final Fantasy,Modus,"Now we're starting to get into the good stuff, these are the Jobs that people take into the Ring of Braves and other Endgame Activities, not quite as good as Legend or EX Job Cards but far better than their Basic Job Card counterparts in most cases

Comes with the Master Monk and Hermit Job Cards. Priced at 200 MC as Monk only has 5 Job Cards in total not counting EX or Legend Job Cards."
,,200,Cursed Energy Texture/Shape(Tier 2),Jujutsu Kaisen V2.5,Modus,"Your cursed energy has a texture or specific shape. For instance it could be sharp or heavy. It could be electrified or hot. Pick any number of textures/shapes. But keep in mind that the texture or shape have an effect on how you can use it. If it's electrified it will release all at once if you fall into water. You can also choose a specific emotion that your cursed energy can give off like Yutas and his pink cursed energy that induces fear. But for an extra 200 cp you can switch between textures and shapes at will such as changing your flaming hot energy into a freezing cold aura no longer having to buy multiple elements and textures.

Requires Cursed Energy Texture/Shape(Tier 1) to Purchase"
,,200,Cursed Energy Control(Tier 1),Jujutsu Kaisen V2.5,Modus,This is as important as Output and Quantity. How much control you have of your cursed energy. At the base level of this you aren’t anything special. Average at best. But for 200cp you can now shoot out blasts and manipulate your cursed energy for homing shots and stuff like slashes from your sword. 
,,200,Cursed Energy Output(Tier 1) ,Jujutsu Kaisen V2.5,Modus,For how much cursed energy you can output at once. For +200cp you cannot release your cursed energy outside of your body. For 0cp you have an average output of cursed energy. Like Itadori. But for 200cp you can release literal blasts of cursed energy that can do loads of damage like an actual cannon. Only Ryu Ishigori is capable of this amount of output.
,,200,Cursed Energy Output(Tier 2),Jujutsu Kaisen V2.5,Modus,"For how much cursed energy you can output at once. For +200cp you cannot release your cursed energy outside of your body. For 0cp you have an average output of cursed energy. Like Itadori. But for 200cp you can release literal blasts of cursed energy that can do loads of damage like an actual cannon. Only Ryu Ishigori is capable of this amount of output. But for 400cp you can release blasts that dwarf Ryu’s strongest. Launch enough cursed energy to destroy twenty houses in a single blast. Shoot Kamehameha's worth of cursed energy and you can increase your output by using it.

Requires Cursed Energy Output(Tier 1) to Purchase"
,,200,Revealing One’s Hand ,Jujutsu Kaisen V2.5,Modus,When you reveal the rules of your ability you gain a relatively big boost in the efficiency and power of said technique. When you do this it does not have to be with all of your abilities only one. But you only gain the increase in power in that one ability. In other worlds this can be a common known rule or a thing only you have.
,,200,Enchain,Jujutsu Kaisen V2.5,Modus,You have the ability to create binding vows on the fly. Letting you survive some things like an explosion by sacrificing a limb or such a thing. These are always gonna end with a punishment if you do not follow the rules. Death will always happen even if the being is completely omnipotent. Absolute deals are the things this does.
,,200,Grade 1,Jujutsu Kaisen V2.5,Modus,This is your grade as a sorcerer. For 0cp you can be a grade 2 sorcerer. For 200cp you can become a grade 1 sorcerer where you have effectively mastered your cursed technique and are well on to becoming a high grade 1. 
,,200,Semi-Special Grade,Jujutsu Kaisen V2.5,Modus,"This is your grade as a sorcerer. For 0cp you can be a grade 2 sorcerer. For 200cp you can become a grade 1 sorcerer where you have effectively mastered your cursed technique and are well on to becoming a high grade 1. For 400cp you are a semi special grade starting on mastering your domain. So long as you have a base like a building you can use one. 

Requires Grade 1 to Purchase"
,,200,Veteran Semi-Special Grade,Jujutsu Kaisen V2.5,Modus,"This is your grade as a sorcerer. For 0cp you can be a grade 2 sorcerer. For 200cp you can become a grade 1 sorcerer where you have effectively mastered your cursed technique and are well on to becoming a high grade 1. For 400cp you are a semi special grade starting on mastering your domain. So long as you have a base like a building you can use one. But for 600cp you have mastered your techniques and your domain. You are a veteran and can easily match someone like Jogo or Hanami.

Requires Semi-Special Grade to Purchase"
,,200,The Fastest Spells This Side Of Sorothustra,A Mage Of Sorothustra,Modus,"Your time out in the wilderness of non-Sorothustran space has taught you the importance of being fast on the cast. You possess a wickedly fine-tuned danger sense and a remarkable ability to cast spells, even immensely advanced ones, quickly and precisely. You are also, only somewhat coincidentally, stunningly fast on the draw.

Additionally, you are an unparalleled master at magic that revolves around navigation and moves you from place to place. You are not good at constructing magical tunnels, but you are supernaturally skilled at using them to go from one corner of the multiverse to another. You are also good at bringing others with you when you magically travel, an underrated and uncommon skill."
,,200,Skilled Sorcerer,A Mage Of Sorothustra,Modus,"All Sorothustrans are skilled sorcerers but there is something uncanny about your talent with sorcery. You seem to be the Sorothustran equivalent of a prodigy, able to naturally understand even completely foreign magic systems with frightening ease, and you are especially talented at redirecting magic. If you opted to specialize in Iron Law then your ability to tank magic is noticeably improved (and with time you can absorb the energies in other spells and use them to fuel and modify your own magic), if you are a wild dreamer then you can snuff out lesser magic with a thought (able to do away with even planet-scale effects with some level of mild difficulty, using nothing more than your thoughts and focus), if you are a practitioner of chaos calculus then you are able to use rituals to tear apart effects, and you are notoriously skilled at capturing the energies contained with hostile magic and turning it into ingredients for your sorcery. In case you happen to be someone who memorizes the nornic fractal you are able to turn negative effects into positive ones powered by the same magic, allowing you to take curses and debuffs and turn them into buffs and blessings."
,,200,Wizard/Witch(Lesser)        ,Seven Deadly Sins,Modus,"You were apprenticed to a master magician when you were just a child and learnt a great deal of magic over the years. You’re a master, still many millenia from the level of the Great Witch Merlin, but a master nonetheless. From countless forms of offensive magic to creation magic to curses to support or enhancement magic to more. The only thing you are not able to do or at least learn with your magical abilities is healing or life magic, as only the Druids and the Goddess Clan are able to access those. The power of your magical spells is governed by your Magic stat. "
,,200,Precise Power,Dragon Ball Super,Modus,"To embody Destruction is also to control it. The Gods of Destruction are not the gods of meaningless mayhem and chaos but orderly beings, meant to finely tune each universe with scalpel like precision. While many Gods of Destruction falter at this task, they and now you all have the control of their own power needed to accomplish it. You are able to exactly control the amount of collateral damage you cause. From your own attacks, the emanation of your raw power and even the direct after effects caused by clashing with your enemies, though not any collateral sourced from their powers."
,,200,No Ego Zone,Dragon Ball Super,Modus,"Through facing your deepest fears and accepting them into your heart, you have gained access to a strange and perhaps not as focused upon power as some other things here. The No Ego Zone is a ability that allows you to entirely contain your Ki around your body, not allowing anything to leak out from your form or your attacks that you do not intend, whereas most fighters unconsciously leak at least a little, if not a lot, of energy as they battle and their emotions rage. For you, even when in a berserker fury, you will not waste any more energy than absolutely necessary, not just greatly increasing your stamina but allowing you to utilise significantly more powerful Ki attacks and enhancement of your body, as you are now able to use your energy much more efficiently. "
,,200,Focus ,Ultrakill,Modus,"While Machines and Husks may utilize hellish energy for their own needs, such results are volatile, short lived. But Demons possess unparalleled control over Hellish energy, for it is their lifeblood, their birthright. Your focus with hellish energy and other spells allows you to maintain such effects for far, far longer than any would consider possible. Perhaps they’ll just consider the sphere in your hand a lamp until you proceed to reveal it’s true purpose as a normally extremely volatile explosive. Maybe they’ll think that hellish barrier will only last a few moments while you could hold it for days. Instability shall never be an issue again, even in the middle of stressful combat."
,,200,Manifestation,Final Fantasy Type-0,Modus,"Rather than drawing on the Crystal's power, if the L'Cie chooses to manifest the crystal directly the full effect of the crystal becomes immediately noticeable. The L'Cie's body crystallizes during the period as the manifestation is proceeding, and the crystals recede afterwards - however, the ability to manifest goes into dormancy for a lengthy amount of time.

Suzaku: The ability to conjure up Eidolons of all kinds becomes apparent, as the ultimate form of magic from the Crystal, Summoning, is manifested. For a very short while, the L’Cie’s magic runs rampant, and any and all summons will run wild, materialized into the world. As the summons expire, the crystal shell starts to fall apart, but the L’Cie enters a state where for a short period of time all magic spells are absorbed and converted for recovery.

Byakko: The Byakko crystal gathers up all magic around the L’Cie, creating an anti-magic field all around them for a short time, as far as their eye can see. When the field falls apart, a massive automaton is created based on how much magic was absorbed. The automaton remains rooted in place, firing explosive shells in every direction until all of the magic used in its creation has expired.

Genbu: As the L’Cie’s form reaches its physical peak, it enters a place where no one may intrude. For an extremely brief period of time the L’Cie’s form is removed from the current dimension and transported into a parallel one. While their physical form may appear to remain in the original dimension, they are unaffected by any attempts to interact with them until the shift reverts. Inside the parallel dimension, they heal rapidly.

Souryu: Souryu, the Azure Dragon, Aspect of Spring. As the power of the crystal manifests, all manners of life burst and bloom around the L’Cie. As magic is rapidly consumed, a massive forest spring to life. The presence of flora leads to fauna, and with enough energy, the L’Cie can call forth massive dragons."
,,200,We Are Wildfire ,Honkai: Star Rail,Modus,"You are now stronger when your allies are fighting by your side. When you are battling alongside your friends, you begin to subconsciously sync your movements with theirs, meaning that what would normally be simply bad odds for an opponent becomes a nightmare of a fight, always beset by attacks from all sides and unable to follow the combo of you and your companions. In addition, you will be able to subconsciously dodge attacks from your allies and manipulate your attacks around them, nullifying the risk of friendly fire."
,,200,Six-Phased Ice,Honkai: Star Rail,Modus,"This perk grants you greater control of your element, allowing you more precision with the fine details of your elemental abilities. For example, you could make an ice-amplified arrow be covered in tiny barbs or even small and intricate sculptures. In addition to this, it allows you to alter the aesthetics of your element, such that ice could appear prismatic like crystal or fire could burn in brilliant greens."
,,200,Theorems and Proofs,Generic D&D 5e,Modus,"When it comes to magic, in the way you cast it, anyways, you are a recognized master of at least the core concepts behind it. This level of mastery allows for far more leeway with your spells, removing limiters on what you can prepare, but not how much you can cast."
,,200,Duality,DMC: Devil May Cry,Modus,"The most notable powers of the Nephilim comes from their hybrid blood, combining the powers of angels and demons, which they can switch between at will. You never have to fear any consequences from wielding any conflicting powers, and they will in fact cancel out any negatives of wielding either. Uniquely, you are able to combine any conflicting energy you wield, creating a power stronger then the both of them apart."
,,200,Magical Arsenal (Tier 2),Frieren - Beyond Journey's End,Modus,"Magic is the art of visualization, using mana to bring one’s imagination into reality. This is a process that is not as natural for humans and other races as it is for demons. As such, humanity has developed a myriad of spells, as well as copied some from demonkind over the years.

For 100 CP, you are considered an adequate mage to act as an adventurer. You have a magic specialization and some kind of personal spell, such as levitation, controlling water or producing lightning. This level is free for Mages, but they don’t get any discount on getting the other tiers.

For 300 CP, you are a powerful mage instead. You have cultivated your mana capacity to the limits of what is possible for your race, and know a myriad of utility, offensive and defensive spells. You may choose to keep specializing in a particular kind of magic, or just have a talent and more robust control over the basic magic. With this level, humans would be able to become First Class Mage Exam of the Continental Magic Association with their talent and cultivated power.

Requires Magical Arsenal(Tier 1) to Purchase"
,,200,I’m On TV!,Demon: The Descent,Modus,"As any demon can tell you, reality is far stranger than fiction. Choose a televised genre. Action movies, soap opera, detective yarns. You’ve somehow attuned to one set of those genres enough that you can exploit similar coincidences in reality. While you can’t force events to happen at will or retcon entities into existence, the kind of coincidences and contrivances that let such a story happen tend to happen in your life frequently-and always to you benefit. You might shoot wildly only for the bullet to bounce into your opponent for example, or discover by chance that something useful for you to know is on TV."
,,200,The Cipher and the Pentagram,Demon: The Descent,Modus,"Every demon seeks their Cipher during their Descent: A piece of code, a metaphysical key that unlocks a truth unknown to the God- Machine that teaches them something about how to find meaning and purpose outside it’s grasp. To accomplish this, demons experiment by combining certain Embeds to find which ones fit together the right way. Doing so successfully results in the creation of three Interlocks derived from the combination of four Key Embeds: Unique abilities drawing on the theme of two Embeds that may be as powerful as Exploits yet are as discrete as regular Embeds to the senses of the God-Machine.

This is normally a task that demons can spend years trying to crack. You, however, paid CP to co-opt a specific facet of the God-Machine’s understanding of reality to let you unlock your Cipher immediately.

BZZZZZT
01010100 01001000 01001001 01010011 00100000 01000110 01000001 01010011
01000011 01001001 01010011 01010100 00100000 01001011 01001001 01001100 01001100 01010011 00100000 01001101 01000001 01000011 01001000 01001001 01001110 01000101 01010011
THERE IS ANOTHER OPTION
THE PENTAGRAM
GET A 5TH KEY
GET 5 INTERLOCKS
YOU WANT MORE POWER, RIGHT KID?
YOU WANT TRUTH?
YOU WANT TO STICK IT TO THE GOD-MACHINE?
DO IT!
01000100 01001111 01010111 01001110 00100000 01010111 01001001 01010100 01001000 00100000 01010100 01001000 01000101 00100000 01010011 01011001 01010011 01010100 01000101 01001101
...

Choosing to complete the Pentagram means you start with severe, life-threatening (for a demon, not accounting for whatever else you are) damage, gives you a permanent and catastrophic glitch and comes with unusually severe penalties for failure when using the Interlock abilities. Caveat emptor."
,,200,Elemental Magic(Tier 1),The Seven Deadly Sins,Modus,"You have control of an element. It could be any of the naturally occurring ones such as fire, lightning, earth, wind, or water. The strength of your magic is determined by how much you pay. Something like Cain Barzads you would pay 200. This doesn’t necessarily let you easily beat someone with a lesser ability as Magic Power makes a grand difference not to mention the differences in skill but this will determine just how powerful your power is innately as well as it’s flexibility and it’s growth.

May be Purchased Multiple Times"
,,200,Amplified Anima,Generic Exalted,Modus,"For some reason or another your Anima powers, unique powers and abilities you can call upon that differ depending on your Exalt type and Caste type, are particularly powerful. You get much more mileage out of them than you should be able to, spending dramatically less Essence when using them and being able to either effect a larger range, more targets at once, use it for a longer period of time, or perhaps just affecting one target in particular in an especially potent way. The exact specifics on what this does changes depending on what type of Exalt and what type of Caste you are but it’s a very dramatic boost in general. Additionally when you use your anima powers you may choose whether or not they are visible and may additionally choose to exempt people, creatures, items, or other such things that you do not specifically desire to target."
,,200,Graduate of a Sorcerous College (Celestial)​,Generic Exalted,Modus,"You're really good at sorcery. Naturally talented one might say. Normally it's difficult even for Exalts to learn how to actually perform Sorcery, having to make various (personal) sacrifices and a lengthy vision-quest equivalent. You’ve already done that though. You automatically start knowing how to perform Terrestrial Circle Sorcery (the lowest level) as well as knowing 3 different spells of that level in addition to Terrestrial Circle counter-magic.

Additionally you learn spells in half the time, have much easier times researching and creating new spells, and take only half the essence to cast them. A real spell casting dynamo.For 300cp you start knowing Celestial Circle Sorcery as well, and three spells of your choice from that circle as well as Celestial circle counter-magic. This explicitly allows individuals that would otherwise never be able to learn Celestial Circle Sorcery (such as mortals or Dragon-blooded) to learn and cast spells of that level. You can continue to learn more spells, in jump, of any level you have purchased.

Not taking this perk does not prevent you from learning Sorcery in jump but it will be difficult in the extreme, especially without a teacher, and Celestial Sorcery will be forever beyond the grasp of mortals and Dragon-blooded if not purchased here. There is no option for learning Solar Circle Sorcery to start with, if you want that you’ll have to figure it out on your own. That said this perk will certainly help start you on that journey. As normal only Solar’s can learn Solar Circle Sorcery. As an alternative to Sorcery you may instead choose to know Necromancy, of the appropriate tier that you have paid for. Necromancy is reviled all across Creation and if people learn you know of it, or worse that you actually practice it, you will likely be hunted down and killed.

Requires Graduate of a Sorcerous College to Purchase"
,,200,Great Trader ,Final Fantasy XVI,Modus,"Charon, the quartermaster is a strict woman in charge of keeping the hideout supplied. Just like her you find yourself a skilled merchant capable of making many connections through trading. This also allows you to sell an inventory of jrpg items like potions, herbs etc... as well as craft weapons out on the field on par with the most skilled of smiths as long as they belong to your allies. Finally, this also includes the merchant shortcuts to appear in locations you have no business appearing in."
,,200,Adjunct Ritemaster ,The Elder Scrolls - Online,Modus,"Draped in the lost histories of Lyg and the rites of Moawita, your mind has become a repository of mystical mysteries. The ability to see rifts, generate Spell Orbs from trace magical energies left over from your castings, and most importantly, to fine-tune your magics is now yours. Your magics draw on less of your energy, have a shorter cool down period, and require significantly less practice to master. Granted, this requires you to actually know a spell in the first place and to be able to cast it, but given the most esteemed order of mystics in Arubus thought you were qualified as an apprentice, you're presumably at least half way competent at magic."
,,200,Augmented Arcana,The Elder Scrolls - Online,Modus,"Anyone can learn a spell and throw it out, but the mark of a true master is learning to adapt a known magic to fit any situation. Take for example, the common Magelight spell. With proper augmentation and study, it can be improved to serve as an external reserve of magicka, a searchlight that seeks out hidden foes, or even a stunning flare. Just as Archmage Vanus Galeron transformed this humble utility magic into an arcane Swiss-army knife, you too have an innate talent for modifying existing magical effects. Perhaps you want to transform your fireball into an oxidation beam that rusts away armor, or turn a Earwig spell into an impromptu means of subtle communication, or transform telekinesis into a physical barrier? With time and practice, you can!"
,,200,Magic Knight,The Elder Scrolls - Online,Modus,"No, you're not going to be the Wizard King. That's a different jump entirely. What you do become is a paragon of martial magic. Your magical abilities synergize better with your mundane combat skills, and you can always figure out how to combine them in some way. Want to mix Storm Calling with that club to make Ye Olde Taser? How about slapping that healing spell onto a blunt arrow to deliver a sucker punch of life from across the battlefield? The only limit is your imagination."
,,200,The Thing About Trump Cards ,Fate/Grand Order Part 2,Modus,"Is that they take everything you have, and then some. And yet, even if you can’t use such things twice, they can create the possibility of victory against all odds. What you gain with this purchase is simple; you know a way to sacrifice yourself to super-charge abilities. Such sacrifices will propel whatever you’re using to immense heights, letting a Noble Phantasm from an otherwise Mid Ranked Servant harm a Monstrous Rank Giant. Trump cards will truly live up to their name if you’re willing to give your life to use them, able to accomplish what would otherwise be impossible for you. Of course, the sacrifice will destroy your soul and body, it takes everything you have and more to pull off after all, but perhaps you have methods of coming back from such things? Servants can certainly be summoned multiple times, after all, and wouldn’t it be ironic if you performed a heroic sacrifice to allow your allies to surmount an otherwise impossible enemy, and then greeted them back home good as new? Don’t tease your friends too much, now."
,,200,Conceptual Wordplay,Fate/Grand Order Part 2,Modus,"Raw power can be amazing when you have tons of it, but equally entertaining can be conceptual shenanigans. Working on perception, understanding, metaphors, and generally operating with its own ruleset, conceptual compatibilities can bridge great gaps in power by the sheer potency of connections. And with this perk, you are perfectly aware of how to play around with such things to your heart’s content. From shattering an incredibly powerful cursed castle because its name rhymes with ‘Edo Castle’ and your legend involves being the cause of the end of the Edo period, to completely restructuring the house where the Shogun’s harem resides into something made entirely for the Shogun’s pleasure, and brainwashing those who enter into thinking they’re the Shogun because why else would they be there, the sheer flexibility of conceptual preparation is mind-boggling.

However, it’s not all metaphorical sunshine and abstract rainbows, as utilizing such conceptual measures makes you vulnerable to conceptual shenanigans from others as well. Perhaps someone will be able to wrest control of your territory from you because they’re the one who built it, or maybe someone who founded a civilization and religion that completely assimilated and rewrote your own would be able to shut down most of your abilities due to that connection. Overall, the potential for conceptual activities is limited only by your imagination, no matter how flimsy your reasoning might be (although the more believable and solid your metaphor-logic is the more resilient it’ll be against similar conceptual shenanigans), and if you plan properly you can gather an immense amount of power where otherwise you wouldn’t be able to obtain much energy."
,,200,Growing Into Yourself ,Fate/Grand Order Part 2,Modus,"Losing the support of a Servant can be a devastating loss to a Demi-Servant, as it’d deprive them of the powers their status gave them and render them a normal human again. However, just like a certain eggplant, such a situation wouldn’t harm you as much as it should. For any powers that are borrowed from another being that you no longer have access to, such as a Servant who has abandoned you, you seem to retain a fraction of the power you were afforded, at a maximum of Low Rank. Outside from being able to use these echoes of power, you’re able to grow and develop them in your own way, honing your skills and abilities by performing great deeds, letting you eventually reach the same level of power you had borrowed, except this time the power is entirely yours. You might need the aid of powerful mystic codes to smooth over the initial stages, but after a few years of regularly fighting against legendary heroes and gods you’ll likely have regained your full power, although if it was on the level of the Grand Rank or above it might take longer to achieve. Still, now you will no longer depend on the goodwill of your patrons for the sake of power."
,,200,Craft Of A Mage,Fate/Grand Order Part 2,Modus,"Magecraft can go a long way in the right hands, and evidently yours are very right hands. Choose some specialization in magecraft, such as Shugendou, the magecraft of a certain Japanese cult, or Witchcraft, or whatever else you can think of. Within your chosen specialization, you are incredibly, absurdly talented, mastering in a mere decade what would take normal people multiple centuries to master. Additionally, you begin with an already ‘normal’ mastery of your specialization, specifically in the more standard and orthodox applications of it, letting you fight on the level of Mid Rank Servants with enough preparation, or perhaps even higher should you have immensely potent resources on hand. While this might seem a little restrictive, it does afford some flexibility, such as the example of Shugendo getting six varied techniques, from moving incredibly quickly to knowing one’s lifespan and fate, or the example of Witchcraft, which Beryl Gut utilized to obtain the Saint Graph of a Great Father Fae, becoming just as powerful as the Fae was while alive. In future jumps, your talent will extend to learnable systems of magic wherever your specialization may be applicable. Try not to let your talent get to your head, or you might find a god or two smiting you for your arrogance."
,,200,For My Master,Fate/Grand Order Part 1,Modus,"Masters are one of the most important factors in Servant battles. Simply having a Master can completely change the outcome of a fight. And for you, this stretches a bit further. Whenever you're fighting for someone, whether fighting their battles or alongside them, your actions in battle are inexplicably more impactful. Attacks hit a little harder, damage lingers a little longer, you can take hits a little better, and so on. It won't be enough to bridge too big a power gap, but within your weight class, so to speak, you'll become almost unstoppable. This works best when fighting under the direct command of someone else, such as a Master, but even if they can't provide support and tactical guidance you'll still be noticeably more effective than without some Master equivalent."
,,200,Loop-Cast System,The Irregular at Magic Highschool,Modus,"The Loop-Cast system devised by Shiba Tatsuya allow for faster reuse of Activation Sequences, so that re-activating a Activation Sequence after having cast it previously is around 20% faster than before, allowing for rapid-fire casting of a single spell. This can apply to all your magics when re-using a spell multiple times in a row."
,,200,Magic Sequence Capacity,The Irregular at Magic Highschool,Modus,"This refers to the maximum size of Magic Sequences your mind can support, the bigger the better, enabling you to create larger and more complicated Sequences with more variables and internal Magic code than most."
,,200,Magic Processing Power,The Irregular at Magic Highschool,Modus,"This refers to the speed at which you can enact a magical phenomenon. The faster you can output a Magic Sequence, the faster this Sequence will affect the world, and you Sequences are faster than most of your peers, speeding up your casting speed by a good amount."
,,200,The 4 Great Systems,The Irregular at Magic Highschool,Modus,"Modern Magic can be classified into several systems. Some of these include the 4 Great Systems of Magic, each with 2 sub-types, including Acceleration, Weight, Movement, Oscillation, Convergence, Dispersion, Absorption and Release. As a Born-Specialized Magician, you have a great talent at one of these sub-types, allowing you to use or even create spells in this category with great power and efficiency."
,,200,Interference Strength,The Irregular at Magic Highschool,Modus,"This express a Magician’s ability to rewrite or alter an Eidos, the stronger the better, and yours is now stronger than normal, granting you quite a lot of oomph behind your Magic, making it harder to counter via counter-magic and being able to rewrite stronger phenomena."
,,200,"Good afternoon, my mischievous uncle",GrimGrimoire,Modus,"People misunderstand the power holy forces have against the unholy. They see light and darkness as opposing forces, fighting for dominance. That is wrong. When the light comes, darkness retreats. And when the light leaves, darkness chases it, longing for light.

All you do against dark forces is magnified. You’re more charming, more fascinating, more commanding. Your magic is more powerful, your contracts more clever, and those chains are tighter or looser at your whim. In all ways you hold advantage over the dark, and it is disadvantaged against you. There is no parity here.

One last gift is granted to you. Your very lifeforce is poison and banishment combined, enough to throw a prince of hell back to the abyss if unleashed. Though this alone will never give you the tools of unleashing, nor let you survive the act."
,,200,The Arts of Glamour,GrimGrimoire,Modus,"The most ancient art is Glamour, dear reader, and one should marvel at the power wielded by the fae and spirits of nature. Glamour is a magic that draws upon the very essence of the world, imbued with holiness and tethered to the ways of nature. Within it lies the secrets of the Wiccan path, the magic of the fairies, and the divine majesty of Queen Titania herself.

Alas, such wondrous power is not invincible, for the chilling science of Alchemy can unravel even the loftiest of Glamour's enchantments. With their unparalleled ability to manipulate the laws of nature, the alchemists see through Glamour's veil and create as they will. Conversely, even the most formidable of Necromancers must bow before the Fae, for how can that which does not exist challenge the essence of the world?

Note: Comes with Fairy Ring Grimoire, see Jump Doc for details"
,,200,Let’s Make a Deal(Wishes),Generic Angels and Demons,Modus,"Alternatively, for an extra 200 CP, your skill in deal making is now comparable to that of the Devil himself. You’re able to make literal wish-granting deals once a month, that, as long as you have the raw power, skill, tech, or whatever else needed to fulfill a wish, even if it would normally take time, you can do it instantly, without any previous preparations and without lowering your power in any way or consuming your resources, if it’s for a deal. In addition to only being able to make a single wish-granting deal for month, the only other limitation for what you can grant them through such deals is that it must be something that you have enough time left in the jump to do it, but, post-Spark, it can be anything that you should be able to do eventually with your current power and resources, without taking on account your potential power and/or resources.

Requires Let’s Make a Deal to Purchase"
,,200,"My Work Here Is Done, And Stays Done",Heroes of the Storm,Modus,"You would hope that pesky engineer’s drones will run out of battery sooner or later when you’ve driven them from the battlefield, that the regenerative health blessing a druid laid down would fade or that the curse afflicting your troops will wear out after long enough. But unfortunately, sometimes life just isn’t fair. Through bursts of innovation and innate talent, you can innovate ways to cause any restorative effect, blessing or technological process you can create to persist constantly without your focus. With intense mystical study, a buff cast on your allies could outlast the battle itself. Tinker long enough with your drones, and you’ll find their capacity for scouting and self-maintenance far outstrips your peers. Nothing truly lasts forever with this alone, but when it comes to keeping your allies alive, well-informed and empowered in the heat of combat to many your work is as good as indefinite."
,,200,"Stay A While, And Listen",Heroes of the Storm,Modus,"Were you one of the last Horadrim too, or did you find signs of the ancient scholars’ work that you mastered yourself? Whatever the truth, you have a gift for using scrolls, books and other means of recording the written word as magical foci. Even if you were primarily a noncombatent, your magical gifts could let you turn a shelf of dusty old tomes into a devastating whirlwind. One further...talent is yours: The ability to tell stories so rambling, so boring, that with a bit of luck you can leave opponents on the battlefield so mentally exhausted they simply fall asleep on the spot. Do note that you do need to be able to convince your foes to hear you out for a spell or at least make yourself heard long enough over the din of combat, and that a blow will quickly wake your listeners from their slumber."
