0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,90
45,,400,Onmyouji,Fate/Legends: The Land of The Rising Sun ,"Among the most structured and ancient styles of magic in Japan is the Onmoyuji’s work. This Japanese magecraft is a mix of science and occultism, containing both many ordinary spellworkings but focusing primarily on working with tools and charms. Most famous are the paper charms and familiars that a Onymouji can easily create, imbuing them with magic long term to achieve a wide variety of goals. Wards, enchantment or cursing of others, creating powerful Shikigami warriors and more. You are a master of these arts, with a above average amount of magical energy to channel into them. However, an Onmyouji finds that raw power is worth less than skill and materials, as you can potentially do battle and seal even a great youkai like Tamamo no Mae despite lacking in power with the right set up. Onmyoudo performs superbly well with preparation, seeing rituals of incredible power becoming much easier than many other magecraft forms.

In particular, you are familiar with the secret technique of Life Continuation. With this, you are able to engrave your very being onto your Shikigami, making them as much a part of you as your original body. Your human form being destroyed hardly matters when a thousand paper familiars hold your essence still, allowing you to control them all at once",,,
46,,400,Alchemic Genius,Fate/Revelation Online,"Originally, the Lesser Grail was a cup shaped Mystic Code that was used to hold all of the power of the vanquished Heroic Spirits. Unfortunately, it was broken in the 3rd Holy Grail War. This is not surprising because the 3rd war involved an immense amount of rule breaking. As a result, a new Lesser Grail needed to be constructed, and was done through Alchemy. You naturally have an interest in the arts responsible for your creation and maintenance and as a result you've learned nearly everything there is to know about all kinds of Alchemy, and are experienced in using it. You've also mastered the art of drawing alchemical circles, and have memorized all of them to the point where you could do it blindfolded. As a side effect, you know everything there currently is to know about chemistry. Of course, you can also do Alchemy through magecraft alone, and are quite good at it. If you wanted, you could even alchemically alter someone's eyes and magic circuits to give them a Mystic Eye. If you wish, this can also include the Atlas Institute style of Alchemy as well, which is its own thing.",,,
47,,400,Fangs of the Beast,Fate/Legends: Land of Shadows,"The greatest of warriors only become such with the greatest of tools, which themselves must be made from the greatest of materials. What greater materials could there be than those legendary finds at the end of quests, the mythical beasts that heroes slay or even the bodies of the hero himself? You are a master at the creation of all kinds of magical weapons, armour and items, capable of crafting even things like some of the magical spears wielded by the Knights of the Red Branch. Your proper talents come to the fore when making items from the body parts of slain monsters or magical beings, allowing you to not only create results of far higher quality than normal but also to retain some or all of the magical powers inherent to the being you are using as materials.",,,
48,,400,Doctor of Death,Fate/Legends: Oasis of Fantasy ,"The techniques of the Hashashin leaders are sourced through the modification of their own beings. The body and even the mind or spirit becomes subject to all kinds of gruesome experiments in their pursuit of power and the ability to deal death on a higher level. Beyond just knowing one of their techniques, you are aware of the methods to create such techniques, though your studies have taught you the general tools and processes rather than the specific methods to the powers of the Hashashin. You have the skill and ability to mould the bodies, minds and spirits of other beings in order to grant special abilities. This can be as simple as grafting the limbs of demons to human bodies and having them work to as complex as separating out the alternate personalities within a madman’s head to allow him to summon them as separate beings in reality.

Your skills with the alteration of the form also extend to other uses, such as practical healing and medicine, brainwashing or therapy, even creating your own monsters instead of altering the bodies of existing beasts. Most bodies however, have a limit on what you can do with them. As impressive as what you can do is, a human body can rarely take more than one or two major alterations before it ceases to function properly. Perhaps in time you could discover how to extend those mortal limitations.",,,
49,,400,Flesh Doctor,Fate/Legends: God Save the Queen,"To trespass on the realm of the gods, is there any higher realm that science can aspire to? Creating life itself, a thinking homunculi made not from magic but electricity and biology. A triumph of humanity’s progress and monument to their arrogance. Frankenstein’s legendary accomplishment was too much for his mind to handle, feeble and unworthy of his own creation, but nothing prevents you from stepping up to the plate. You have the same mastery of biological and electrical sciences as Doctor Frankenstein, able to create the required machines to manipulate lightning and life itself. With the right resources, you can recreate or even improve on his artificial lifeform. This knowledge can of course be used for other means, creating tools to harm or manipulate life as easily as it can create new life. 

The skills to create are easily turned to repair, applicable to both your own creations and other forms of artificial life, finding yourself with a talent for easily putting back together in functional form these beings. Unlike the fool doctor, you are also gifted with understanding of the new life you make, an almost empathetic connection to help you realise their desires and emotions. 

With enough work, you can also extend the practice of creating life to any other science or intellectual discipline you know. A rudimentary artificial intelligence made from steam powered machines, a living spell crafted by the hands of a magi or even more bizarre creations, thoughtforms given true life through the practices of a psychologist.",,,
50,,400,Motherhood,Fate/Legends: Land of Shadows,"All things in this world come from a mother, be it an animal mother or mother Earth. With your long and storied history with motherhood, you thought to take things to a bit more of an exceptional level. You have the ability to create life and nature, so long as you have taken in the right information to do so. By taking a living being or part of nature within you, through consumption of a part of it or some other method of receiving genetic information from a living being within your body, you’re able to imprint that information inside you and create new life based on it. Taking a human in this way would allow you to create humans, as infants or fully grown adults, with a small expenditure of mana, enough for even a normal person to make two or three adults this way. Take in a dog’s information as well and you could even mix the two, creating dog-men. You can even pass down information you know and wish into them, moulding their personalities, skills and memories. Enough energy and you could birth entire armies. Not that you need to literally give birth to them. It is possible for you to simply create this new life in front of you from your energy. And as mentioned before, this also applies to any part of the natural world. Sip from a river and with enough mana spent, you could create an entirely new river.",,,
51,,400,Perfect Copy,Vasto of White,"Perfect Copy is a formidable ability belonging to the likes of Szayelaporro. By investing in this perk, you can acquire a version of this power that belongs to you. To activate this power, you will need to concentrate your spiritual energy on your target. Once you have gathered enough information, you can generate a copy of them using your own energy or by expelling them from your body.

The duplicates you create are far from lifeless dolls; instead, they are fully independent beings with the same skills, memories, and even personalities as the original. These replicas are completely loyal to you, even if their character is entirely different from your own. With this ability, you can summon powerful allies into the fray while collecting vital data by observing and reproducing your enemies. With your ability to create perfect copies, you can easily outsmart your opponents, gaining an upper hand in combat.",,,
52,,400,Motherhood,Fate/Myth,"Oddly enough, many Villains are women, and many then are mothers, Morgan le Fay, Medb, Grendel's Mother, the Birth of the End is done by Wicked women, With this perk you may ingest Genetic material of creatures or even the “Essence” of something such as drinking from a River, and can thus chose to impregnate yourself with it’s child, even if you were a man, you can impregnate yourself with multiple things, such as Metal and Fire to make a golem of molten metal, If you take in multiple People’s “Essence” you can even create a Child that belongs to all of them as well as yourself. And While you can birth the child right away, that would leave them weaker than their true power, a River Child could control enough water to do extremely minor things or just be a bit more flexible than average if born right away, if held in for the full nine months it could with some trouble, create new rivers thanks to it’s control of water or perform impossible feats of agility and dexterity. A Child of King Arthur born right away would make a goodly knight true...but held in for Nine Months and you’d have a Child who could fight their father in full regalia while only using mundane equipment...The Child’s other “Parent” has a big impact on their power level, based on how strong and important the other parent is, This perk does not give any “Loyalty” from the Child, nor any “Control” you would have to use other perks or simply raise the child yourself properly to gain such things. You Do Not have to actually birth a child, you can spill your blood on the ground and have them be “Birthed” from that if you prefer, you also no long have to show your pregnancy if you do not wish to, appearing as thin as ever even if in your ninth month.",,,
53,,400,Master of Puppets,Kara no Kyokai: Ammy Edition,"I would ask if you apprenticed under Touko, because those puppets you can make are nearly as good as hers, but she doesn’t exactly take that kind of apprentice. 

You can now make puppets, mystical machines, in (usually) humanoid form that respond to your commands, as well as puppet limbs that can serve as replacements for lost body parts in humans. The capabilities of a puppet depends on the maker, however they're usually incredibly durable and quite strong, enough that many magi use them as security forces for their workshops and homes. While you are incredibly skilled in puppetry, you are not quite on the level of Touko, and are unable to reproduce her backup body network... Yet.",,,
54,,400,Swordsmith ,Fate/Legends: The Land of The Rising Sun ,"What else shows the spirit of the Japanese but the famed katana blade? Such a central part of their mythos as to have the most famous craftsmen become like heroes themselves. No matter how great, they do not remember the makers of armor or shields like they do artisans of the blade. On the level of legends like Masamune and Muramasa, you are one of these legendary swordsmiths. Even in an ordinary forge with ordinary metals, you can smith katana of a supernatural quality. Edges that split magical steel and blades that don’t shatter after a thousand strikes on rock. Often, these even have magical effects if you intend them, such as sharpening as they drink more blood or cutting at a much greater distance than just the physical blade.

Should you have access to tools, materials and even magic of a greater level, you will be able to create far greater weapons. Weapons that bring ruin to armies, that cut castles in two with a single slash, fiery tools that send billowing tides of flame to swallow whole forests. When truly inspired, you can even create things on a divine level, the stuff of legends that only a divinity could normally craft. A sword that splits the fabric of reality itself in two, perhaps.

With time, your talents may be able to be applied to any form of blade, not just Japanese swords. Should you gain magic of your own, you will see that imbuing those effects into your weapons is effortless, even magnifying the potency of your spells greatly beyond what you would normally be able to cast if you place them into the form of a sword.",,,
55,,400,Eyes on the World,Kara no Kyokai,"Mystic Eyes are the term given to the unique powers and appearances found at times in the eyes of Magi and magical creatures. So many types exist, and such a reputation has built around them, that their possession has become both a status symbol and a sort of culture in itself. From the most simple and base Mystic Eyes of Charm to the almost sacred and miraculous Mystic Eyes of Death Perception, they are deeply desired and feared across the world. 

But they are ultimately just tools, is what you have found. And tools can be broken, altered, even made new. Again, it is more than a field of study in magecraft. What you have is a universal gift relating to eyes and the magics they hold. You’re already well studied on the many kinds of Mystic Eyes and their effects, with your immense talent regarding them allowing you to start to create tools to affect them or even make Mystic Eyes themselves. Glasses that seal their effects or enhance them, surgical tools to safely extract and transplant the eyes, contacts that focus their effects towards specific uses, eyedrops that reverse their powers for a time. New Eyes often involve binding some magecraft or power you are knowledgeable on into the eyes you know how to grow, then inserting and connecting them to the user. It’s even possible to combine and stack eyes with each other, since your skills extend to biological alteration of ocular organs. Two Mystic Eyes of the same sort placed within each other could form an un-ending mirror, trapping their targets in a spell for eternity. Effectively, you have incredible skill in most medicine and magecraft relating directly to Mystic Eyes and immense talent in furthering that, both in this world and in regards to any other eyes you might encounter.",,,
56,,400,Nimaiya's Legacy,Vasto of White,"You possess the rare and extraordinary ability to forge new Zanpakuto, just like the legendary Ōetsu Nimaiya. With this power, you can create not only Zanpakuto for yourself but also for others. Your expertise in Zanpakuto forging allows you to imbue your creations with unique and powerful abilities that suit the wielder's personality and fighting style. You have an innate understanding of the nature of spiritual energy and its interactions with physical matter, allowing you to craft Zanpakuto of unparalleled quality. You can shape and manipulate spiritual energy with ease, imbuing your creations with a wide range of abilities that can manifest as devastating attacks or powerful defensive measures.

Your mastery over Zanpakuto forging also allows you to refine and improve existing Zanpakuto. You can modify the abilities and appearance of a Zanpakuto according to the wielder's desires, unlocking its full potential. Whether you are forging a Zanpakuto for yourself or someone else, you can create a weapon that perfectly complements the wielder's strengths and weaknesses. Your creations are infused with your own spiritual energy, allowing you to sense their location and condition at all times. With this power, you can shape the course of battle and turn the tide of any conflict.",,,
57,,400,A Bard's Tale,Fate/Legends: God Save the Queen,"Why lead an army to conquer the world when you can change it to your liking without ever needing to leave your own study? The power of a story is not always so grand but it has only become more influential as the barbaric days of the past are left behind and communication becomes ever easier. Your skill as a wordsmith, playwright and orator is one of very few peers, outside the rare exception like the Bard himself. Be it novels, plays, poems or all at once, your gift is sure to earn widespread acclaim and wealth if you publish your works. Not to mention how well the upper class and even royalty tend to receive you when you write a story casting them in a favourable light. Most of your creative endeavours tend to only become more popular and influential as time goes on, easily cementing your place in literature and theatrical history, as well as an easy path to influence the world of the future through your writing. 

But this is merely the mundane side of the entertaining word, you’ve reached beyond the ordinary world already. Through both writing and oration, you can Enchant the world around you. With vivid descriptions and praise, you can reinforce, enhance and even awaken magical powers in objects, people and even entire locations. A common longsword might gain unnatural sharpness as you weave a tale of the battles it has seen it’s wielders through. The greater the existing history and mystery of your target, the less limited you are in your Enchantments, though they require more and more investment from you too. A common blade might be made supernatural but it will never match truly legendary swords. On the other hand, with many days of inspired fabrication, the unnamed but personal sword of a noted hero could indeed grow to match the likes of Ascalon and Excalibur. As they are but stories, these Enchants do fade in time, though using the enchanted object to accomplish deeds worthy of it’s supposed new fame may indeed make it a permanent change. 

A final and more costly ability discovered by you is to give form to your words and creations through the use of magical energy. While it can be quite costly to create complex and large scale obfuscations, it is entirely possible for you to scare away robbers with demonic phantasms or force enemies to face illusions of old traumas and foes. Surely, your skill in writing characters will be helpful in directing these phantasmal actors.",,,
58,,400,Dread Captain Nikola,Fate/Saber Wars,"Technology has gotten a little eclectic, given that it almost always comes from the deranged minds of the various Casters across the galaxy. You might cross one sector and go from seeing shining space-age metropoli on one world to a steampunk space empire on another. You’ve a mind to keep up with the various genii found across the stars, with a general understanding of most common cosmic-age technology. You do have the usual specialty though, a field in which you can produce all kinds of wonders. 

An outdated electrical studies major who somehow took the inferior to Artorium energy and created technology to terrorise half the galaxy, raining down lightning as if like Zeus himself. A steam obsessed scientist who revived the ancient art to create a star empire of steam powered robots and ships. Even a Servant scientist who studies the Saint Graphs themselves, to learn to modify and manipulate such things. There’s not much a smart man can’t accomplish in this galaxy and age, not with enough time and resources. And since everyone is immortal, is it much wonder that every genius seems to end up a pirate or super villain?",,,
59,,400,Faerie Craftsmanship,Fate - The Island of Sin,"Excalibur, the Sword of Promised Victory. Avalon, the Everdistant Utopia. Rhongomyniad, the Lance That Shines to the End of the World. Arondite, the Unfading Light of the Lake. The fairies of Proper Human History were responsible for crafting a number of the most impressive Noble Phantasms to ever bless the world. In this timeline, the six A-Rays of the Beginning slacked off instead of creating Excalibur, and for that sin the world died. But the sheer craftsmanship of those original fairies hasn’t faded, but has lived on in the hearts of the greatest of the Earth Clan—in people like you.

You have surpassing talent for the creative arts, and it would take you only a matter of weeks to become a master in a field of crafting that you never discovered before—and your skill will only grow from there. But what’s more, is that the items you create are just better than those of your contemporaries, holding more conceptual weight. A shirt that you make will manage temperature better than it should. Armor you create would resist blows that should have caused the metal to crumple. Spears you make will pierce through hides that would normally resist weapons. The buildings you make perform their function better, perfumes you brew smell better, and food you cook is more delicious and nutritious.",,,
60,,400,The Inescapable Void,The Holy Man of The Church Creek,"When Beast XI/L emerged no one was capable of defeating it. Even the combined might of Shirou, Artoria, God, Angra Mainyu, and their allies was unable to hurt it. In the end they were only able to defeat it by sealing it away. By channeling your immense power and focusing it through you can perform a similar feat. This allows you to create a permanent prison within a one-way passage. This void-like space, similar to the one forged by the Great Red, is an impenetrable fortress with no exit.

Once your target is trapped within its confines, there is no escape, no matter their strength or abilities. This prison exists outside the bounds of conventional reality, rendering any attempts to break free or traverse its boundaries futile. Just remember that you must also be capable of forcing your target within this prison before they can be trapped. Lastly, you may optionally open these prisons if you ever wish to release your target for some reason.",,,
61,,400,Fetch,Fate - The Island of Sin,"This little bit of witchcraft isn’t native to this world, but was nonetheless adopted by Tam Lin Tristan in her interactions with the Crypter from Proper Human History known as Beryl Gut. It allows you to use a piece of another individual—such as a fingernail, a bit of blood, or even a single strand of hair—to create a miniature copy of that individual, a perfect replica right down to their soul. Because it is a perfect replica, any damage you inflict upon the replica must therefore be true also for the original, allowing you to maim or kill an opponent at any distance as long as you have a piece of them, first. Only conceptual or Anti-Purge defenses could have any chance of preventing it from taking effect.

Beryl taught Tam Lin Tristan this technique so he could see it used without having to cast it himself—because it will rot away the soul of the caster. Fortunately, your variety of the spell has no such consequences.",,,
62,,400,Forger of Legends,The Holy Man of The Church Creek,"In your hands lies the power of a master craftsman, a true legend in the realm of blacksmithing. Your skill at forging surpasses mere expertise, allowing you to shape and mold materials with unparalleled precision and artistry. Each strike of your hammer resonates with the echoes of history and the knowledge of countless legendary weapons. As the Forger of Legends, you possess an innate understanding of the forging process, not just for mundane weapons, but for extraordinary creations that transcend the ordinary. Your connection to the spirits of the weapons you have encountered and the knowledge of their individual forging processes fuels your mastery.

With every swing of your hammer, you channel the collective wisdom of the legendary weapons you have studied, infusing your creations with their essence. No material is too challenging for your skillful hands. Whether it be mythical, Devil Cores, or any other rare material, you can effortlessly shape and manipulate them to your will. The properties of these materials become second nature to you, and you can draw out their true potential, transforming them into works of art that surpass the limitations of ordinary craftsmanship. Every piece of equipment you forge has the potential to become a Noble Phantasm, a divine weapon, or an equally impressive piece of equipment.",,,
63,,400,Imagination Manifest,Vasto of White,"You possess the power to make anything you imagine become a reality. Your imagination has no limits, and whatever you create is as real as the world around you. With this ability, you can manifest objects, creatures, energies, and even abstract concepts into reality with ease. In addition, this power transcends the laws of reality and the limitations of spiritual energy. Your imagination can overpower any opponent, regardless of their strength or abilities. You are immune to any power that attempts to alter or manipulate your imagination, and you can manipulate reality itself to suit your needs.

Furthermore, your imagination is not limited to the physical world. You can create entire worlds and dimensions, with their own laws and rules, which you can freely manipulate and control. You can also create mental constructs, illusions, and even alter the perceptions of others to suit your desires. This ability however, does require conscious effort to use. This acts as a mental toggle allowing you to turn this ability on and off at will. ",,,
64,,600,Inventor,Fate/Revelation Online,"this world, innovation is everything. Progression is driven by improvement in methodology and implementation, and that's something you excel in. You're exceptional at developing new uses for existing technology or abilities as well as developing new technology. Once Mystic Codes become available, this perk will apply to magitek as well as purely mechanical or magical matters. Your specialty, however, is combining technology and magic in order to create something that is better than either of its component parts.",,,
65,,600,"Old Dog, Strange Tricks",Fate/Zero,"You’re perfectly aware what more modern mages think when they see your refusal to use technology of the current era. You don’t even need to see their faces to know the disdain they have for tradition. That’s alright. You know that their technology isn’t needed, because you can already match it with magic. Not to say you can just cast Missile or chant up a Microwave. Rather, you create mechanisms that run on magical energy, rather than whatever force powered the base you are working with. These magical machines require a great deal of magical knowledge to create and roughly the same effort and materials as a mundane variant would but are powered solely by magical energy, no matter what originally powered the machines you are recreating.",,,
66,,600,Domination,Fate/Stay Night,"It was the Makiri family who created the Command Seal spell that would become so integral to the operation of the Grail Wars. Only the ancient head of that family, Zouken, may still remember how to create new ones, though others have since figured out how to transfer existing ones. Not only can you make new ones as good as Zouken in his prime but you are not limited to creating these for just Servants in the Grail War. Whilst expensive and time consuming to craft, you are able to apply these Command Seals to any target willing, or simply unable to resist, to take them. The wielder of these Command Seals is either yourself or a person of your choice and the bond between the wielder and the target automatically forms. The spells work exactly as they would as if they were the normal set of 3 Seals any Master gets, the only difference being the targets, wielder and number are now chosen by you, as long as you go through the effort of their creation.",,,
67,,600,Bloodline Establishment,Kara no Kyokai,"We all had to come from somewhere. All of the various clans of the Hunter’s Organisation had to have been made, to have had an originator. For psychic powers, such rare things, to come to be present in every member of whole families is simply not natural. And that unnatural method is known to you, just one of the many you now discover. Through a mixture of medicine, hypnosis, certain magecraft-like practices, selective breeding and perhaps a touch of the inhuman you are meant to hunt- you’ve learned to slowly create new Demon Hunting clans with their own psychic bloodlines.

It can take generations to stabilise and hold true but you are not limited to only the powers found in the four main branches of the Organisation- the Nanaya, Ryougi, Asakami and Fujou. Instead, you are even able to slowly design new ones of a similar level. A family of electrokinetics or who can naturally command low level spirits and fairies? Taking the young Shirazumi boys predatory mutations and creating an entire line of carnivorous demon hunters? All possible, with time and available subjects. The final note to make is that, like the clans above, there can be a great deal of individuality in the clans you breed. While most members will be stable and similar in psychic power, rarely some will appear with much more impressive variants of the normal power, either naturally or just through their life experiences.",,,
68,,600,Artificer,Tsukihime,"Even among the everyday alchemists of Atlas, you have a talent for the creation of new and interesting items. Mystic Codes, modern Conceptual Weapons, even living Homunculi...with the time, study, and resources, you can create new and amazing items and magical beings that modern magi would happily chop off a limb just to possess. You also have the skill to reverse-engineer magical enchantments that others make, and with enough time, you may almost perfectly recreate them - though it takes a proportionate amount of resources and study to make something that departs from the norm, and something on par with a relic from the Age of Gods may take a king’s ransom and a near lifetime of work.

To explain, a Mystic Code is a ‘support’ item utilized by magi that come in two types. The first is an Amplifier, which can strengthen or support their magic by storing reserve energy for later use or directly amplifying a spell, as the name indicates. An example of this is the jewelry used in the magecraft utilized by the Tohsaka family. The second is a ‘Specialized’ Mystic Code, which can perform a given spell or function upon being activated by the user’s magical energy. This could even be utilized by those without magical circuits under certain conditions - for example, the Salamander Gloves used by Azaka Kokuto in a different world, which could generate flames using her ‘talent’ for spontaneous combustion alone.

A Conceptual Weapon, to contrast, is a weapon that has accumulated a history within it, and do more than simple physical damage or interference - it has a singular ‘concept’ embedded within it and is able to damage or disrupt things like physical laws or magical beings, or even formless things that normally couldn’t be damaged by mundane means. It does so by imposing its given concept onto the world, and inflicting it on those the user attacks with the Weapon. A common modern example are the Black Keys utilized by the Holy Church itself.

Finally, a homunculus is a magical being, an artificial lifeform created without the normal biological process of birth. The concept of ‘age’ is largely meaningless, as they begin with all of their required knowledge for whatever task they were made for upon being created, aging to adulthood in months instead of years. They also possess powerful Magic Circuits as a result of their artificial creation - though as a consequence, homunculi are usually physically frail, have mental defects, or short lifespans - some trade-off to their creation process. Perhaps in time you could eventually make one with a human lifespan or iron out some of these defects, but that will take years and resources you likely could have used a simpler creation for. For some reason, ones you create are guaranteed to be unshakeably loyal (or at least benign) to you in particular.",,,
69,,600,Drug Making,Lewd Fate,"Somehow, you’ve managed to transcend the limits of your craft and achieved this. What started as you simply fucking around to make aphrodisiacs and minor drugs somehow ended up as the ability to make any drug imaginable with an incredible potency, that bypasses any and all immunities and resistances, your drugs do not have any unwanted effects any unpredicted side effects would only be ones you’d approve of.",,,
70,,600,Mad Science Jumper,Tsukihime,"...wait, what? Huh?! How does any of this have to do with being a maid?! I guess the robots could look like them or something, but...anyways, against all logic, you are an engineering genius who could put certain inventors to shame, able to construct fighting androids with comically effective artificial intelligence that will be completely loyal to you unless mistreated. These robots, with enough time and resources invested in them, could individually lay low Dead Apostles or other creatures with some effort, and are able to hold the armory of a small tank in a humanoid body, or otherwise putting a large amount of weaponry compared to the size of the robot within its arsenal. Given enough time and privacy to work, you could even make a self-sustaining factory that churns out an army of these robotic avengers...you ARE doing this for maid work, right?",,,
71,,600,Man Made World,Fate/Grand Order,"When Nikola Tesla took the secret of lightning to humanity, he spat in the face of Gods and Magicians alike. He had taken the divine and made it mundane for the sake of humanity and that act gave him genuine, immense power. While some may point how the ridiculousness of his science becoming supernatural, one can’t ignore the power that technology gained, especially against the supernatural. You are a true creator in the same vein as Tesla himself now. The technology you create is supernaturally empowered, becoming more and more so the wider spread your technology is in the world you are in and the more your technology advances that world. If you created and spread around the world the secret of electricity, which revolutionised the entire world, you would then be able to create electrical devices that allowed you to do battle with even some of the mightiest Servants in history. Your technology is also imbued with even greater power than normal when used against Divine opponents, as the Gods seem to have an innate aversion to the progress you bring.",,,
72,,600,Master of Death,Grand Foreigner,"While Ainz is a master of numerous forms of magic his main specialization is Necromancy. Necromancy is the art of manipulating death to create undead servants, cast black magic, curses, and many other so-called evil arts. Yggdrasil Necromancers, however, differ from standard necromancers as they don’t actually require dead bodies to create undead warriors. Although using materials can greatly decrease the amount of energy required to perform their magic.",,,
73,,600,Class Card Creation,Fate/Kaleid Liner Prisma Illya ,You have gained knowledge of the creation of the artefacts known as class cards. Through distilling the experience of a life into a card you may grant people the abilities of that life. To create a class card you may engrave either the abilities you have gained in a life on another world or a skill you possess such as your knowledge of a magical style or martial art. Some of your physical prowess may also be engraved onto the card granting increases in physical ability to the wielder. You may also create cards from the souls of others if you have some means of extracting them to use for the creation of the card. The cards will have to be powered by the magical energy of their wielder and can be limited by the aptitude of the user and will last as long as the user can maintain the power expenditure of the card. They will also be limited like class cards in that after being used they will require an hour before being able to be used again.,,,
74,,600,Sublimation,Fate/Legends: Vive la France,"Originality and uniqueness may certainly be the king of the high class art world but that’s only when people can tell it’s there. If not, a revision works just as well. Sublimation is the name of this capability you now have, which allows you to reproduce objects you have a chance to study and ‘revise’ them in the process, like stealing and rewriting a play. You’ll need the desired item as a catalyst but this will let you slowly make copies of it, quality depending on the time and resources you invest into each one. A few hours is usually all it takes but already powerful items can take expensive, rare or dangerous to acquire materials to remake.

 More uniquely, your revision ability allows you to alter these catalysts. Again, basing the extent of the effect on time and resources, but you can certainly make a magical sword several times as powerful or add numerous new abilities to it, altering it’s history or composition so that it always had those qualities. Perhaps a cart of raw materials from the local town square is all it’d take to take an ordinary iron blade and make it sharp enough to cut metal and alight in flame on command. But improving an already legendary blade like Durandal even moderately could take fortune’s worth of materials that would already be difficult to attain, even for a king. There is not technically a limit on how far an object may be revised, though the cost of doing so will continue to grow greatly. Of course, selling your reproductions and revisions would certainly help build the fortune needed for something big.",,,
75,,600,And the Blood was Spilled,Grand Foreigner,"And the blood was spilled...was the final Noble Phantasm that Medusa gained after she evolved using the Holy Grail. This phantasm calls upon her title as the original Mother of Monsters and allows her to create a single unique monster. This new monster is designed to be the ultimate hunter against any one opponent. It will be stronger and more specialized depending on how much information you are able to provide about its target during its creation.

For example, when combating Nursery Rhyme the monster summoned the Vorpal Blade and gained the ability to force Nursery Rhyme into a body that could be killed. This Noble Phantasm has three main weaknesses. Firstly, it can only summon one monster at a time. Secondly, altering the monster requires you to dismiss the previous iteration before you can summon it once more. Lastly, this power has a long recharge time and a casting time of a few seconds.",,,
76,,600,Bonds of Fate,Fate/Stay Night,"Finally revealed, the secrets and knowledge to the Einzbern's Homunculi creation methods. It's all yours. From the way to turn natural children into basic Homunculi to creating flawless versions of the super Homunculi such as Ilyasviel herself, you've gained not only the knowledge but also the expertise in medicine, surgery and Alchemy focusing on life creation to actually carry out the process entirely on your own. Beyond mere skill, your creations, when they be living beings, seem to be better than those of any other peer on a fundamental level. Life you bring into being with your magics and sciences, from this world or any other, is stronger, faster, and smarter and so on then it would normally be. You could possibly focus this into one area or spread it out even more generally with some work. Taking The Family Art in Alchemy on top of this would push your Homunculi beyond even what the Einzbern family achieved.",,,
77,,600,Tool Creation,Fate/Legends: Empires of Antiquity,"The ability to make and alter tools at an astonishing level. Designing and crafting magical tools of exceptional power is easy, from potions to magical weapons to siege engines, and even creating non-magical implements that can accomplish magical effects at a lower level is entirely possible. You could with time, design and create some of the greatest weapons wielded by heroes in this age, provided you find the tools and resources you’d need to do it. Your talents lie particularly towards weapons of destruction and war, as your inventions in that area seem to end up having far more power, lethality and effectiveness than you had expected from what you designed. Lastly, when forced to spend time amongst other living beings, you also find that your capabilities with tools can be applied in certain ways to living beings, letting you trick and manipulate other people to do what you want with quite a high degree of skill.",,,
78,,600,Sacred Gear Creation,The Holy Man of The Church Creek,"Sacred Gears are powerful relics capable of bonding to their user's soul originally developed by the God of the Bible. They were meant to be weapons that protect humanity and give them the potential to surpass the gods. With Sacred Gear Mastery, you are a skilled artisan in the creation of Sacred Gears. You have studied under the guidance of both the God of the Bible and Azazel himself, acquiring the intricate knowledge and techniques required to craft these powerful artifacts. Using high-level materials or the souls of formidable beings, you can create new Sacred Gears, infusing them with unique and potent abilities.

Furthermore, your expertise extends to the realm of modification. You can enhance and upgrade existing Sacred Gears, unlocking their sub-species or enhancing their capabilities. Through your mastery, you can push the boundaries of what a Sacred Gear can achieve, unleashing their true potential and elevating them to new levels of power. Lastly, your comprehensive knowledge extends beyond the realms of Sacred Gear creation and modification. You possess a profound understanding of souls, mechanics, and sealing methods, allowing you to delve into the intricate complexities of these mystical artifacts. Your expertise in these areas grants you the ability to repair damaged Sacred Gears, unravel intricate seals, and comprehend the intricate workings of soul-based systems.",,,
79,,600,Promethean Man,Fate/Legends: Strange New World,"It is mankind’s destiny to grow beyond this world. The Gods fear this destiny. It’s why they’ve tried to enslave us, hinder us and even exterminate us. Even the world itself fears our potential. And it is because of men like you that this is the case. Men who can look at the magic of the world, that thing which makes a mockery of logic and reason, and force it to bend to our wills. To make the light of the gods into the light of mankind. So long as you can perceive it, through your senses or through the application of technological tools, you have the capability to begin to decipher natural and supernatural phenomena and create new technologies based on that phenomena. Observing the lightning in the sky, the thing considered only to be controlled by Gods, would allow for the discovery or advancement of electrical power. Watching and observing as a Magus creates a Bounded Field may open up a field of technology that allows for the warping and alteration of the fabric of space. Even the strangest supernatural acts, such as the manipulation of platonic ideals or concepts or abstract ideas, could eventually be something you make controlled via technology and science. All you need to do is put in the work, have the creativity and that special bit of genius to make this all work.",,,
80,,600,Sapphire Scientist,Fate/Saber Wars,"In the same way that artificial humans can be constructed through magecraft, some have mastered the path to making a living Servant from nothing. A Homunculus type Servant, even. The secret technologies and methods of a certain dark clan were revealed to you, teaching you the arts of Saint Graph Construction. 

While it relies on advanced tools and significant resources, you have the extreme skill to create all kinds of Servants by constructing Spirit Origins manually. Your skills and tools are just as applicable to modification of existing Servants as well, allowing you to customise Skills, upgrade Noble Phantasms and even create entirely new Servant Containers to apply to existing Saint Graphs, such as the fearsome Anti-Servants made to slay certain other Servants. Manipulation of the furthest ends of the Servant System, those grand heights and beastly depths, is yet beyond you. But withenough time, perhaps...",,,
